NIP	ozn	nr	rodzaj_uslugi	rata
1617995032	PTU	52YS	L	2358
4458233905	DW	RM754	W	2175
1361555378	SK	WD234	L	2972
6758177505	RTA	490N	L	1779
3318203338	SK	L67AK	W	2165
5459753232	BSI	25082	L	2758
4326751508	SB	49800	W	2198
4326751508	SB	57577	W	1902
4458233905	SK	RM745	W	2318
3470453173	LC	7893E	L	2415
1524870307	SK	N90SL	W	1893
2245871126	TBU	24072	W	1950
2281651150	NOL	14UV	W	2575
5266741491	PO	P48WY	L	2565
5341884086	PO	S23TN	L	1970
5459753232	BSI	25284	W	1950
1617995032	PTU	56KC	L	2448
5185759244	PO	Y32DP	W	2688
3568004264	LUB	C632	L	2185
1620242236	PN	4111S	W	3192
3470453173	LC	34570	W	2464
6727559092	RTA	301J	W	2034
1127056356	PKS	Q564	L	2436
6727559092	RTA	279H	W	2114
1939065269	PO	3941D	L	2390
1820566794	PP	27304	L	1932
4241680809	PO	RD345	L	2720
4458233905	DW	4356G	L	2478
1433397952	PN	16836	W	2434
4779174699	DW	3851Q	L	2992
5459753232	BSI	24880	W	1860
3318203338	PO	LF354	L	2427
5514533376	SB	26294	W	2926
5418968184	PO	O68AY	W	1902
4956781088	DGR	V720	L	1929
4241680809	PO	RL351	L	3056
2599394621	PO	CS552	W	2818
5115061689	SL	16892	L	3144
3568004264	LUB	65ED	W	3060
3470453173	LC	7897N	L	1866
2119268767	NEB	T606	W	2928
1246489959	PO	M54EB	W	2590
4779174699	DW	3871D	L	2445
4715154852	DW	579W	L	2780
3568004264	LUB	61XF	L	2720
5514533376	SB	26092	W	2136
5528435390	PO	A44GU	L	2328
4779174699	DW	16842	L	2920
4326751508	EL	64243	W	3324
1620242236	PN	16906	L	2915
6758177505	RTA	556V	W	1930
6727559092	RTA	246F	W	2361
4241680809	PO	R79LM	W	1863
4326751508	SB	48689	L	2420
3470453173	LC	34572	W	2625
3579231044	LLE	G712	W	2314
2119268767	NEB	57SX	W	2340
1620242236	PN	4101U	L	2181
4326751508	SB	45356	L	2800
1278408463	PKO	27LS	W	2589
1939065269	PO	3931S	L	2360
3783578981	EL	28314	W	2185
4241680809	PO	RK350	L	2319
4761158900	OKL	86463	L	2208
3866883575	LU	3581R	W	1520
1127056356	PKS	S566	L	2050
1620242236	PN	16904	W	2336
6727559092	RTA	356J	W	2034
3318203338	PO	LD355	W	1900
5185759244	PO	Y30EJ	L	2277
3866883575	LU	3571C	W	2994
6727559092	RTA	367J	W	2315
1165493421	PO	L74SB	W	2560
4796841112	DOA	A682	W	2391
5115061689	SL	16896	W	2085
1599095267	PO	PK128	W	2105
3866883575	LU	16788	W	1928
4779174699	DW	3901W	L	1852
3866883575	LU	16792	W	2784
4779174699	DW	3891T	W	2348
3318203338	SJ	LR356	W	2305
1433397952	PN	16830	L	2282
4326751508	EL	59799	L	2408
3470453173	LC	34566	W	1835
3783578981	EL	28112	L	1869
3568004264	LUB	F628	W	1804
6758177505	RTA	501V	L	2990
5115061689	SL	16894	L	2840
5418968184	SJ	O62FG	W	1929
2581219876	NEB	H724	L	2506
1127056356	PKS	W570	W	2924
5528435390	SJ	A38DW	L	2283
4241680809	SJ	R78KN	L	2350
2245871126	TBU	24274	L	2340
1620242236	PN	16900	L	2368
4796841112	DOA	D684	L	3336
3783578981	EL	27708	L	2510
5115061689	SRS	L668	L	2358
6758177505	OPO	479M	L	3104
2138598159	NEL	P588	L	2391
1524870307	SJ	N91XU	L	2790
4796841112	DOA	L678	L	1796
3470453173	LC	34574	L	1790
4761158900	OKL	87574	W	2460
3866883575	LU	3561B	L	3300
4326751508	EL	60910	L	2365
1278408463	PKO	N574	W	3270
4326751508	EL	65354	L	1835
1581329071	SJ	E95RH	W	2320
1620242236	PN	16902	L	2067
2214740049	NBR	S706	L	2366
1433397952	PN	3631H	L	1990
2581219876	NEB	94MD	W	2120
3470453173	LC	34576	W	1620
4761158900	OKL	76464	L	2080
1820566794	PP	27102	W	2658
4761158900	OKL	80908	W	2582
1278408463	PKO	25JE	W	2852
5229945534	SJ	G40VV	L	1968
3783578981	EL	28718	L	3160
4458233905	DW	45333	W	2022
1871447797	SJ	O54JT	L	2350
4761158900	OKL	82019	W	2468
2581219876	NEB	6C31	L	2610
4580185570	SJ	JJ547	W	3204
1599095267	SJ	PP132	W	2516
3357631311	LZA	V638	W	1792
4241680809	SO	RH348	L	2885
2281651150	NOL	16LG	W	2550
4779174699	DW	3881E	L	2362
5624201652	STA	97AK	L	3216
3866883575	LU	16798	W	2034
4796841112	DOA	K674	W	1885
5341884086	SO	SB135	W	2490
4779174699	DW	3831W	L	2580
5514533376	SB	26698	L	2634
3470453173	LC	7901K	W	2584
4796841112	DOA	U676	L	2576
5266741491	SO	P44AB	W	1946
4715154852	DW	23613	L	2880
5418968184	SO	O64VB	L	2630
1599095267	SO	PL129	W	2112
1433397952	PN	3621I	L	2928
2281651150	NOL	N650	W	2295
5341884086	SO	S34YB	L	2556
3568004264	LUB	Z620	L	2568
5185759244	SO	Y28XU	L	2674
4326751508	SB	47578	L	3120
1433397952	PN	16834	W	1896
4779174699	DW	16844	W	2608
3678947206	ONY	1267	W	2154
1939065269	PO	16882	L	2328
5514533376	DJE	25688	L	2548
5115061689	SRS	J666	W	1902
4326751508	DJE	52022	L	2456
1278408463	PKO	94RF	W	2544
5528435390	SO	A40FT	L	3495
2138598159	NEL	B596	L	2550
1599095267	SO	PW131	W	2448
5341884086	SO	SX136	L	3645
1433397952	PN	16822	W	2935
2138598159	NEL	I594	W	2834
2625657803	SO	U50HG	W	1624
1939065269	PO	3951A	L	2574
4326751508	DJE	54244	W	1806
2138598159	NEL	H592	W	3204
4779174699	DW	3861S	W	1618
3568004264	LUB	X626	W	2720
5115061689	SRS	18IT	W	3192
1361555378	SZ	WS237	W	2559
3866883575	LU	16796	L	2145
4761158900	OKL	73131	L	2674
4779174699	DW	16846	L	2192
6727559092	OPO	345G	L	2480
4761158900	BIA	78686	W	2578
4761158900	BIA	77575	W	1774
2394072755	SZ	EU125	W	750
1939065269	PO	16888	L	2562
3114182744	SZ	S97VV	L	1959
4326751508	EL	62021	L	2624
4326751508	DJE	50911	W	2760
3568004264	LUB	D622	L	2404
1278408463	PN	16780	L	2328
5185759244	SZ	Y26SL	W	2610
4761158900	BIA	75353	L	2010
4326751508	PL	68687	L	2196
6758177505	OPO	523S	W	2095
1617995032	PTU	J688	L	1899
1433397952	PN	3651R	W	2180
5115061689	SRS	G664	W	1864
4761158900	BIA	84241	W	2172
4761158900	BIA	85352	L	1950
2119268767	NEB	V602	W	2115
3866883575	LU	16790	W	2457
2394072755	SZ	ET124	W	2792
6758177505	OPO	567K	W	2915
4326751508	PL	63132	L	1515
2394072755	SZ	EU126	W	2330
4326751508	PL	66465	L	2245
5341884086	SZ	S45UV	L	2880
1581329071	SZ	E94CB	L	2270
5341884086	SZ	SD137	L	2748
4241680809	SZ	R80LN	W	1995
5229945534	SZ	G36RH	L	3276
2281651150	NOL	99KC	L	1622
6727559092	OPO	378G	W	2208
3678947206	ONY	1278	L	2065
2119268767	NEB	T600	W	1772
3568004264	LUB	63AR	W	2175
4326751508	DJE	53133	W	2958
4796841112	DOA	I680	L	2792
2138598159	NEL	M590	L	2049
1617995032	PTU	5F12	W	1946
1278408463	PKO	F572	L	2722
3345883725	LUB	J742	W	2344
5528435390	SZ	A42FY	W	2465
3783578981	PL	27910	W	2174
4761158900	BIA	79797	L	1812
4715154852	DW	601H	L	2800
2581219876	NEB	U728	W	2478
2245871126	TBU	23870	L	2562
6727559092	OPO	268H	W	980
1361555378	SZ	WB235	W	2325
5418968184	SZ	O58CY	W	1830
1165493421	SZ	L72WG	L	3122
1433397952	PN	16828	L	2660
6727559092	STA	334F	L	2822
5514533376	DJE	25890	L	2895
3866883575	LU	3601Y	L	2638
1433397952	PN	3641B	L	2018
4779174699	DW	16848	L	1600
4326751508	PL	67576	L	1800
4761158900	BIA	72020	L	3144
2119268767	NEB	D604	L	1740
2581219876	NEB	Y726	L	2490
2281651150	NOL	Y648	W	2170
1599095267	SZ	PR133	L	2238
3783578981	PL	28516	W	2642
4779174699	DW	16850	L	1575
4580185570	SZ	JG549	L	1623
6727559092	STA	290G	W	2550
6727559092	STA	312W	L	2384
5418968184	SR	O66QH	W	2364
5514533376	DJE	26496	L	2642
3579231044	LLE	R714	L	3002
4458233905	DW	56456	L	3128
1939065269	PO	16884	W	1980
3345883725	LUB	I740	W	2784
3357631311	LZA	T642	L	2014
2869229213	SR	K34AW	W	1280
1599095267	SR	PS130	W	2796
3678947206	ONY	1289	W	2475
2245871126	TBU	23668	W	1806
5115061689	SRS	20AF	W	2595
1620242236	PN	4121F	L	2836
3318203338	SR	L45QM	W	2349
3357631311	LZA	H640	W	2870
4580185570	SR	JH548	W	2616
6758177505	STA	534U	L	2523
3568004264	LUB	G634	L	2060
3470453173	LC	7891Q	W	2151
3866883575	LU	3591T	W	2818
1433397952	PN	3661T	W	1851
3470453173	LC	7899B	L	2062
6758177505	STA	457K	W	2258
5266741491	SR	P46ZH	W	1774
2214740049	NBR	X708	W	2066
1433397952	PN	16826	W	1626
4326751508	DJE	46467	W	1601
1433397952	PN	16824	W	2865
2281651150	NOL	J646	L	2136
5581610439	SPI	O750	W	2316
