Id_klienta;Nazwisko;Imie;Miasto
310;Kmita;Martyna;Zlotoryja
311;Gachewicz;Pola;Olesnica
312;Pilewski;Jan;Trzebnica
313;Lewandowska;Ewa;Zlotoryja
314;Paliniewicz;Katarzyna;Olesnica
315;Lubinska;Magdalena;Trzebnica
316;Konstanski;Michal;Trzebnica
317;Hrywniak;Olaf;Trzebnica
318;Warda;Bartlomiej;Trzebnica
319;Dabrowski;Stefan;Trzebnica
320;Mrozek;Lena;Trzebnica
321;Drapinska;Weronika;Walbrzych
322;Dawidowska;Weronika;Walbrzych
323;Lesiak;Maksymilian;Walbrzych
324;Szarmach;Ewa;Walbrzych
325;Burghard;Zofia;Walbrzych
326;Michalska;Lena;Walbrzych
327;Mezynska;Lena;Bielawa
328;Kaminska;Monika;Bielawa
329;Edel;Vanessa;Bielawa
330;Gadomska;Pola;Wroclaw
331;Bieniasz;Zuzanna;Wroclaw
332;Kozlowski;Mateusz;Wroclaw
333;Karewicz;Michal;Wroclaw
334;Hinca;Olaf;Wroclaw
335;Mielcarz;Lena;Wroclaw
336;Zebrowski;Adam;Wroclaw
337;Janik;Natalia;Wroclaw
338;Radziun;Jakub;Wroclaw
339;Stawirej;Hanna;Wroclaw
340;Brankiewicz;Anna;Wroclaw
341;Wojniusz;Aleksander;Wroclaw
342;Borowiec;Tymon;Wroclaw
343;Kuszner;Maja;Wroclaw
344;Pawlowski;Jan;Wroclaw
345;Boleski;Tymon;Wolow
346;Gniezdzinska;Patrycja;Sobotka
347;Gazarkiewicz;Paulina;Walbrzych
348;Gawinkowski;Pawel;Olawa
349;Lendzion;Maja;Jelenia Gora
350;Skrzek;Izabela;Wolow
351;Reda;Jakub;Sobotka
352;Krolikowska;Malgorzata;Walbrzych
353;Szydlowski;Daniel;Olawa
354;Sawicka;Julia;Jelenia Gora
355;Jakubiak;Natalia;Wolow
356;Maciejewski;Maciej;Sobotka
357;Kachniarz;Mikolaj;Walbrzych
358;Pluzinska;Kaja;Olawa
359;Brzezinska;Weronika;Jelenia Gora
360;Skrodzki;Gabriel;Wolow
361;Skoropinski;Gabriel;Sobotka
362;Zak;Agata;Walbrzych
363;Hildebrandt;Nikola;Olawa
364;Papciak;Jaroslaw;Jelenia Gora
365;Malanowski;Lukasz;Wolow
366;Osojca;Kinga;Sobotka
367;Szulfer;Daria;Walbrzych
368;Konieczka;Marta;Walbrzych
369;Komasinska;Marta;Walbrzych
370;Gajdecka;Paulina;Walbrzych
371;Galikowska;Paulina;Walbrzych
372;Piotrowski;Jan;Walbrzych
373;Przestrzelski;Jakub;Olawa
374;Schmidtke;Joanna;Jelenia Gora
375;Romanowska;Julia;Wolow
376;Smoliniec;Iwa;Sobotka
377;Kukulski;Mateusz;Walbrzych
378;Wakuluk;Angelika;Olawa
379;Wabiszewska;Aniela;Jelenia Gora
380;Bialowss;Wiktor;Wolow
381;Laskowski;Jacek;Sobotka
382;Gondek;Oliwia;Wolow
383;Górski;Oskar;Sobotka
384;Szlage;Dominik;Wolow
385;Stiewa;Gabriela;Sobotka
386;Janiszewska;Natalia;Wroclaw
387;Orlowski;Kacper;Wroclaw
388;Kulik;Marek;Wroclaw
389;Szymaniak;Bianka;Wroclaw
390;Soja;Filip;Wroclaw
391;Macholla;Maciej;Wroclaw
392;Duchcik;Victoria;Wroclaw
393;Subocz;Emma;Wroclaw
394;Matusiewicz;Ksawery;Wroclaw
395;Czapkowski;Jaroslaw;Wroclaw
396;Cudzilo;Urszula;Wroclaw
397;Frost;Piotr;Wolow
398;Tylec;Bartosz;Sobotka
399;Niewierowska;Laura;Walbrzych
400;Bankowski;Wojciech;Olawa
401;Stopinska;Gabriela;Jelenia Gora
402;Odya;Kacper;Wolow
403;Jaroszek;Milosz;Sobotka
404;Deszcz;Simon;Walbrzych
405;Bujalski;Tobiasz;Olawa
406;Kowalina;Mateusz;Jelenia Gora
407;Broner;Maria;Wolow
408;Kozlowski;Mateusz;Sobotka
409;Majsik;£ukasz;Walbrzych
410;Borkowski;Tomasz;Olawa
411;Górecki;Patryk;Jelenia Gora
412;Zielinski;Adam;Wolow
413;Zawisza;Agnieszka;Sobotka
414;Gerygk;Patryk;Wroclaw
415;Gerono;Pawel;Wroclaw
416;Dabkowska;Weronika;Wroclaw
417;Lang;Maja;Wroclaw
418;Glowacz;Patryk;Wroclaw
419;Olstowska;Klaudia;Wroclaw
420;Kik;Michalina;Wroclaw
421;Chajecki;Karol;Wroclaw
422;Wizniewska;Amelia;Wroclaw
423;Szewczyk;Edyta;Wroclaw
424;Basek;Wiktoria;Wroclaw
425;Stiburska;Gabriela;Wroclaw
426;Dreger;Wanessa;Wroclaw
427;Kowalska;Maria;Wroclaw
428;Sorr;Iga;Wroclaw
429;Marjanski;Leon;Wroclaw
430;Sokolnicka;Inga;Wroclaw
431;Sciebur;Damian;Wroclaw
432;Polubinski;Jakub;Wroclaw
433;Ogrodowczyk;Kacper;Wroclaw
434;Makarski;£ukasz;Wroclaw
435;Freitag;Pawel;Wroclaw
436;Aftanas;Mariusz;Wroclaw
437;Polonska;Justyna;Sobotka
438;Piwowarska;Kaja;Sobotka
439;Pomierska;Justyna;Sobotka
440;Kurowska;Karolina;Sobotka
441;Sulek;Fabian;Sobotka
442;Uszkiewicz;Anna;Sobotka
443;Wentland;Baniamin;Olesnica
444;Zebala;Adam;Trzebnica
445;Chudzik;Wiktoria;Zlotoryja
446;Jedrzejewski;Mikolaj;Olesnica
447;Hajdamowicz;Nina;Trzebnica
448;Ropel;Jacek;Zlotoryja
449;Budzynski;Tadeusz;Olesnica
450;Zbieska;Agata;Trzebnica
451;Skrzynska;Izabela;Zlotoryja
452;Karmazyn;Mira;Olesnica
453;Bienkowska;Karolina;Trzebnica
454;Chabowski;Szymon;Zlotoryja
455;Krol;Malgorzata;Olesnica
456;Markiewicz;Lila;Trzebnica
457;Dalek;Szymon;Zlotoryja
458;Romanowska;Olga;Olesnica
459;Klos;Michal;Trzebnica
460;Kedzierski;Michal;Trzebnica
461;Irek;Olaf;Trzebnica
462;Smal;Franciszek;Trzebnica
463;Muczynski;Kasjan;Trzebnica
464;Butajlo;Wojciech;Trzebnica
465;Kass;Milena;Walbrzych
466;Jenda;Mikolaj;Walbrzych
467;Markowski;Kuba;Walbrzych
468;M¾dry;Krzysztof;Walbrzych
469;Ostwald;Katarzyna;Walbrzych
470;Begdon;Zuzanna;Walbrzych
471;Panfil;Julian;Bielawa
472;Wnuczynska;Alicja;Bielawa
473;Rychter;Julia;Bielawa
474;Gasinski;Pawel;Wroclaw
475;Toczek;Antonina;Wroclaw
476;Sokolowska;Iga;Wroclaw
477;Zawizlak;Agnieszka;Wroclaw
478;Golunska;Oliwia;Wroclaw
479;Piskor;Kalina;Wroclaw
480;Szumala;Blanka;Wroclaw
481;Jakuszewska;Natalia;Wroclaw
482;Jezierska;Nadia;Wroclaw
483;Kisiela;Michal;Wroclaw
484;Macierzynska;Magdalena;Wroclaw
485;Sosnowski;Wojciech;Wroclaw
486;Winiarczyk;Amelia;Wroclaw
487;Bialkowski;Wiktor;Wroclaw
488;Lehmann;Marcel;Wroclaw
489;Gnacinski;Patryk;Wolow
490;Marchewicz;Lucjan;Sobotka
491;Zurowski;Adam;Walbrzych
492;Morawski;Klaudiusz;Olawa
493;Sitarska;Izabella;Jelenia Gora
494;Bianga;Zuzanna;Wolow
495;Jank;Natalia;Sobotka
496;Janukowicz;Natalia;Walbrzych
497;Richter;Julia;Olawa
498;Zarzeczanski;Adrian;Jelenia Gora
499;Jasik;Natalia;Wolow
500;Krawiec;Mateusz;Sobotka
501;Olszowka;Klara;Walbrzych
502;Wieruszewski;Antoni;Olawa
503;Jarosz;Milosz;Jelenia Gora
504;Daczkowska;Weronika;Wolow
505;Kurowska;Paulina;Sobotka
506;Jablonski;Nikodem;Walbrzych
507;Bastian;Witold;Olawa
508;Lsczynska;Magdalena;Jelenia Gora
509;Szubiga;Dawid;Wolow
510;Winiarski;Antoni;Sobotka
511;Mazurowski;Ksawery;Walbrzych
512;Olewnik;Klaudia;Walbrzych
513;Kruz;Maja;Walbrzych
514;Rutkowski;Mariusz;Walbrzych
515;Sawicki;Ignacy;Walbrzych
516;Bugaj;Zofia;Walbrzych
517;Jamrozy;Nikodem;Olawa
518;Pomorski;Jakub;Jelenia Gora
519;Mienik;Lena;Wolow
520;Gryczka;Nina;Sobotka
521;Bilinski;Tymoteusz;Walbrzych
522;Burdalska;Maja;Olawa
523;Karczewska;Monika;Jelenia Gora
524;Szelbracikowska;Edyta;Wolow
525;Chomik;Szymon;Sobotka
526;Ziólkowski;Piotr;Wolow
527;Kulinska;Maja;Sobotka
528;Drapella;Rafal;Wroclaw
529;Lelental;Marcel;Wroclaw
530;Majewski;Marcin;Wroclaw
531;Rojek;Jakub;Wroclaw
532;Pisowacki;Jan;Wroclaw
533;Gomula;Patryk;Wroclaw
534;Jaskulski;Mikolaj;Wroclaw
535;Narloch;Kamil;Wroclaw
536;Hofman;Nikola;Wroclaw
537;Koza;Maria;Wroclaw
538;Swiadek;Damian;Wroclaw
539;Konstanski;Maurycy;Wroclaw
540;Grochowalska;Oliwia;Wroclaw
541;Hajdel;Olivier;Wroclaw
542;Krzywiec;Anna;Wroclaw
543;Kobus;Jakub;Sobotka
544;Mogielka;Konrad;Walbrzych
545;Rogowska;Julia;Olawa
546;Miller;Lena;Jelenia Gora
547;Pawelczak;Karolina;Olesnica
548;Baranowska;Krystyna;Trzebnica
549;Paner;Karolina;Zlotoryja
550;Rogulska;Julia;Bielawa
551;Jakubiak;Natalia;Wolow
552;Mokrzycki;Konrad;Sobotka
553;Szwarc;Blanka;Walbrzych
554;Wysocka;Alicja;Olawa
555;Musial;Karol;Jelenia Gora
556;Orczakowski;Kacper;Olesnica
557;Ordecka;Kinga;Trzebnica
558;Glogier;Patrycja;Zlotoryja
559;Bohonos;Tadeusz;Bielawa
560;Tarnowska;Antonina;Wolow
561;Piskorska;Kaja;Sobotka
562;Bzówka;Szymon;Walbrzych
563;Mistat;Lena;Olawa
564;Domaradzki;Sebastian;Jelenia Gora
565;Goldschmidt;Patrycja;Olesnica
566;Rautenberg;Julia;Trzebnica
567;Guzewicz;Oliwier;Zlotoryja
568;Guzinski;Oliwier;Bielawa
569;Kedzierski;Michal;Wolow
570;Okroj;Kacper;Wolow
571;Biegaj;Dorota;Wolow
572;Sypniewska;Emilia;Wolow
573;Wizniewska;Olga;Wolow
574;Jurczuk;Mikolaj;Zlotoryja
575;Baszanowski;Wiktor;Bielawa
576;Szot;Dominik;Wolow
577;Zagierska;Aleksandra;Sobotka
578;Kawecka;Milena;Walbrzych
579;Borkowska;Zofia;Walbrzych
580;Gwiazdowska;Nina;Walbrzych
581;Mielewczyk;Kryspin;Walbrzych
582;Szablewski;Fabian;Walbrzych
583;Januszewska;Natalia;Walbrzych
584;Filarski;Piotr;Walbrzych
585;Kozinski;Mateusz;Bielawa
586;Safianowska;Julia;Bielawa
587;Grzezkiewicz;Nina;Bielawa
588;Sajnog;Igor;Wroclaw
589;Zieba;Agata;Wroclaw
590;Kmiecik;Martyna;Wroclaw
591;Rozalski;Iwo;Wroclaw
592;Rombel;Jakub;Wroclaw
593;Frej;Piotr;Wroclaw
594;Nieczoglomski;Kamil;Wroclaw
595;Bujak;Tomasz;Wroclaw
596;Mamcarz;Lilianna;Wroclaw
597;Staszak;Hanna;Wroclaw
598;Dabkiewicz;Weronika;Wroclaw
599;Treder;Anna;Wroclaw
600;Sumila;Emilia;Wroclaw
601;Mika;Konrad;Wroclaw
602;Matelski;Ksawery;Wroclaw
603;Bednarz;Wiktor;Wroclaw
604;Szymanski;Bartosz;Wroclaw
605;Sleczek;Antonina;Wroclaw
606;Blazejewska;Zofia;Wroclaw
607;Holownia;Nikola;Wroclaw
608;Kisiolek;Michalina;Wroclaw
609;Bielicka;Zuzanna;Wroclaw
610;Marcinowski;Leon;Wroclaw
611;Stangel;Filip;Wroclaw
612;Baranowska;Magdalena;Wroclaw
613;Barabasz;Witold;Wroclaw
614;Kowalska;Maria;Wroclaw
615;Luksenburg;Maksymilian;Wroclaw
616;Myczkowski;Krzysztof;Wroclaw
617;Olszewski;Kacper;Wroclaw
618;Brych;Tomasz;Wroclaw
619;Steck;Hanna;Wroclaw
620;Barzowska;Karolina;Wroclaw
621;Szajrych;Emilia;Wroclaw
622;Stefanowski;Filip;Wroclaw
623;Zielinski;Wojciech;Wroclaw
624;Jozwiak;Nadia;Wroclaw
625;Chyla;Wanda;Wroclaw
626;Zebrowska;Adrianna;Wroclaw
627;Zielinska;Agata;Wroclaw
628;Wozniak;Aleksander;Wroclaw
629;Gora;Oliwia;Wroclaw
630;Jalinska;Natalia;Wroclaw
631;Grzedziela;Oliwier;Sobotka
632;Szamotulska;Emilia;Walbrzych
633;Mazur;Lena;Olawa
634;Weglinska;Amelia;Jelenia Gora
635;Rugala;Ivo;Olesnica
636;Bols;Kamila;Trzebnica
637;Tygielski;Bartosz;Zlotoryja
638;Bujnarowski;Szymon;Bielawa
639;Kapinska;Monika;Wolow
640;Ziarko;Adam;Sobotka
641;Czajkowska;Wiktoria;Walbrzych
642;Gorzelanczyk;Oliwia;Olawa
643;Kwiatkowski;Marcin;Jelenia Gora
644;Kozlowska;Malgorzta;Olesnica
645;Krasnowski;Mateusz;Trzebnica
646;Treszczotka;Bla¿ej;Zlotoryja
647;Rekzc;Jakub;Bielawa
648;Truchan;Bernard;Wolow
649;Tysarczyk;Bartosz;Sobotka
650;Jakubowski;Nikodem;Walbrzych
651;Tyminski;Bartosz;Olawa
652;Drozdowski;Piotr;Jelenia Gora
653;Gabrahn;Pola;Olesnica
654;Licbarski;Maksymilian;Trzebnica
655;Wlodarczyk;Amelia;Zlotoryja
656;Trafalski;Borys;Bielawa
657;Bialous;Wanda;Wolow
658;Paciorek;Julian;Wolow
659;Auda;Wojciech;Wolow
660;Gardynik;Pawel;Wolow
661;Bilinska;Zofia;Wolow
662;Rogowska;Maria;Zlotoryja
663;Szczygiel;Elzbieta;Bielawa
664;Prusak;Jakub;Wolow
665;Laskowski;Marcel;Sobotka
666;Grabania;Oliwia;Walbrzych
667;Klos;Michal;Walbrzych
668;Konieczynski;Michal;Walbrzych
669;Ukomska;Anna;Walbrzych
670;Grosz;Olimpia;Walbrzych
671;Garbala;Pawel;Walbrzych
672;Zylka;Adam;Walbrzych
673;Rewekant;Julia;Bielawa
674;Przyloga;Jakub;Bielawa
675;Bela;Wiktor;Bielawa
676;Król;Mateusz;Wroclaw
677;Napora;Kamil;Wroclaw
678;Nieradko;Kajetan;Wroclaw
679;Lysik;Magdalena;Wroclaw
680;Kowalski;Mateusz;Wroclaw
681;Buczynska;Zofia;Wroclaw
682;Zalewski;Adrian;Wroclaw
683;Klebba;Michal;Wroclaw
684;Gondek;Oliwia;Wroclaw
685;Jalinska;Natalia;Wroclaw
686;Rozanski;Jakub;Wroclaw
687;Szpyrka;Dawid;Wroclaw
688;Ciarkowska;Wiktoria;Wroclaw
689;Chojnacka;Wiktoria;Wroclaw
690;Rugala;Igor;Wroclaw
691;Szczech;Dominik;Wroclaw
692;Lawendowska;Maja;Wroclaw
693;Lewandowski;Maksymilian;Wroclaw
694;Templin;Cezary;Wroclaw
695;Figurska;Sara;Wroclaw
696;Cejko;Zofia;Wroclaw
697;Mizerek;Konrad;Wroclaw
698;Siedzinska;Joanna;Wroclaw
699;Orzel;Kacper;Wroclaw
700;Kruk;Mateusz;Sobotka
701;Szpiegowska;Dominika;Sobotka
