Imie	Nazwisko	Miasto	D_wyj	D_powr	Koszt_wyj
Karolina	Arska	Kielce	2014-01-26	2014-01-30	1019,70
Eustachy	Bydgoski	Bydgoszcz	2014-01-26	2014-01-30	1077,40
Paulina	Dok	Krakow	2014-01-26	2014-01-28	911,50
Zuzanna	Kowalska	Olsztyn	2014-01-26	2014-01-28	689,80
Zofia	Maselska	Krakow	2014-01-26	2014-01-30	1321,50
Lidia	Opolska	Kalisz	2014-01-26	2014-01-30	1078,00
Malwina	Papkin	Lublin	2014-01-26	2014-01-29	737,70
Narcyz	Polanicki	Katowice	2014-01-26	2014-01-27	693,70
Dorota	Sosnowiecka	Siedlce	2014-01-26	2014-01-28	434,40
Piotr	Sworacz	Siedlce	2014-01-26	2014-01-29	573,40
Adam	Wradoch	Mielec	2014-01-26	2014-01-30	954,00
Kamil	Zabrzeski	Kutno	2014-01-26	2014-01-27	407,80
Paulina	Chorzowska	Krakow	2014-01-27	2014-01-27	501,50
Sebastian	Puchacz	Katowice	2014-01-27	2014-01-29	892,70
Zofia	Seredycka	Malbork	2014-01-27	2014-01-27	680,00
Rozalia	Siedlecka	Bydgoszcz	2014-01-27	2014-01-29	795,40
Wiktor	Wroblewski	Bydgoszcz	2014-01-27	2014-01-29	795,40
Ewa	Fidyk	Olsztyn	2014-01-28	2014-01-28	363,80
Jan	Rzymski	Krakow	2014-01-28	2014-01-30	911,50
Amelia	Wojtecka	Kutno	2014-01-28	2014-01-30	536,80
Karolina	Arska	Kalisz	2014-02-02	2014-02-04	760,00
Karolina	Bizuta	Krakow	2014-02-02	2014-02-03	706,50
Zofia	Budzianowska	Katowice	2014-02-02	2014-02-05	1091,70
Janina	Bolanowska	Mielec	2014-02-03	2014-02-06	826,00
Anna	Kaliska	Kielce	2014-02-03	2014-02-03	307,70
Marta	Nowowiejska	Olsztyn	2014-02-03	2014-02-03	363,80
Kazimiera	Parczewska	Bydgoszcz	2014-02-03	2014-02-05	795,40
Sebastian	Argonski	Mielec	2014-02-07	2014-02-11	954,00
Karolina	Arska	Kutno	2014-02-07	2014-02-11	794,80
Andrzej	Barcz	Bydgoszcz	2014-02-07	2014-02-10	936,40
Karolina	Bizuta	Katowice	2014-02-07	2014-02-09	892,70
Dominika	Bodera	Kielce	2014-02-07	2014-02-08	485,70
Piotr	Bojarun	Bydgoszcz	2014-02-07	2014-02-10	936,40
Wiktor	Czekan	Mielec	2014-02-07	2014-02-11	954,00
Karolina	Janes	Bydgoszcz	2014-02-07	2014-02-10	936,40
Anna	Kaliska	Kalisz	2014-02-07	2014-02-07	442,00
Kacper	Krajewski	Kutno	2014-02-07	2014-02-09	536,80
Wojciech	Krokus	Zgierz	2014-02-07	2014-02-07	212,50
Michalina	Lamda	Kalisz	2014-02-07	2014-02-09	760,00
Bogumiˆ	Lubelski	Mielec	2014-02-07	2014-02-08	570,00
Wojciech	Magierowcz	Olsztyn	2014-02-07	2014-02-09	689,80
Zofia	Maselska	Kielce	2014-02-07	2014-02-11	1019,70
Zyta	Mazurkiewicz	Malbork	2014-02-07	2014-02-08	891,00
Maria	Ozimek	Siedlce	2014-02-07	2014-02-08	295,40
Malwina	Papkin	Malbork	2014-02-07	2014-02-08	891,00
Zuzanna	Piotrkowska	Zgierz	2014-02-07	2014-02-11	688,50
Grzegorz	Podolski	Kielce	2014-02-07	2014-02-09	663,70
Piotr	Roman	Zgierz	2014-02-07	2014-02-10	569,50
Paulina	Basala	Mielec	2014-02-10	2014-02-10	442,00
Andrzej	Kolarski	Bydgoszcz	2014-02-10	2014-02-10	513,40
Kazimiera	Parczewska	Zgierz	2014-02-10	2014-02-11	331,50
Paulina	Chorzowska	Bydgoszcz	2014-02-12	2014-02-12	513,40
Adam	Falski	Zgierz	2014-02-14	2014-02-16	450,50
Ewa	Kwiska	Bydgoszcz	2014-02-14	2014-02-16	795,40
Teresa	Moskiewska	Zgierz	2014-02-14	2014-02-14	212,50
Lidia	Opolska	Katowice	2014-02-14	2014-02-16	892,70
Sebastian	Puchacz	Kielce	2014-02-14	2014-02-18	1019,70
Tomasz	Rzepka	Siedlce	2014-02-14	2014-02-17	573,40
Katarzyna	Piotrowska	Kutno	2014-02-15	2014-02-17	536,80
Karol	Witkiewicz	Krakow	2014-02-15	2014-02-16	706,50
Patrycja	Andrycz	Katowice	2014-02-19	2014-02-23	1290,70
Anna	Augustowska	Zgierz	2014-02-19	2014-02-23	688,50
Wiktor	Budzis	Mielec	2014-02-19	2014-02-20	570,00
Jerzy	Dusznicki	Krakow	2014-02-19	2014-02-22	1116,50
Olivia	Gabor	Malbork	2014-02-19	2014-02-20	891,00
Marek	Holski	Kutno	2014-02-19	2014-02-22	665,80
Andrzej	Kolarski	Siedlce	2014-02-19	2014-02-21	434,40
Justyna	Kolska	Lublin	2014-02-19	2014-02-21	588,70
Piotr	Malski	Kielce	2014-02-19	2014-02-22	841,70
Wojciech	Mazowiecki	Bydgoszcz	2014-02-19	2014-02-20	654,40
Teresa	Moskiewska	Krakow	2014-02-19	2014-02-20	706,50
Irma	Opoczna	Krakow	2014-02-19	2014-02-23	1321,50
Krystyna	Pleszewska	Lublin	2014-02-19	2014-02-23	886,70
Rozalia	Siedlecka	Zgierz	2014-02-19	2014-02-20	331,50
Dorota	Sosnowiecka	Malbork	2014-02-19	2014-02-20	891,00
Dorota	Sosnowiecka	Siedlce	2014-02-19	2014-02-20	295,40
Piotr	Sworacz	Mielec	2014-02-19	2014-02-22	826,00
Justyna	Tracz	Mielec	2014-02-19	2014-02-21	698,00
Karol	Witkiewicz	Olsztyn	2014-02-19	2014-02-19	363,80
Adam	Wradoch	Kutno	2014-02-19	2014-02-21	536,80
Wiktor	Budzis	Malbork	2014-02-22	2014-02-22	680,00
Jerzy	Jurajski	Mielec	2014-02-26	2014-03-02	954,00
Wojciech	Mazowiecki	Bydgoszcz	2014-02-26	2014-02-28	795,40
Irma	Opoczna	Radom	2014-02-26	2014-03-01	550,50
Rozalia	Parad	Lublin	2014-02-26	2014-02-27	439,70
Piotr	Roman	Krakow	2014-02-26	2014-02-27	706,50
Jan	Suwski	Kielce	2014-02-26	2014-02-27	485,70
Wiktor	Budzis	Kutno	2014-02-28	2014-02-28	278,80
Piotr	Armowicz	Katowice	2014-03-03	2014-03-04	693,70
Paulina	Basala	Katowice	2014-03-03	2014-03-03	494,70
Ewa	Fidyk	Krakow	2014-03-03	2014-03-05	911,50
Marzena	Gras	Siedlce	2014-03-03	2014-03-04	295,40
Wojciech	Magierowcz	Siedlce	2014-03-03	2014-03-07	712,40
Paulina	Maskor	Zgierz	2014-03-03	2014-03-05	450,50
Wojciech	Mazowiecki	Radom	2014-03-03	2014-03-06	550,50
Ewelia	Nyska	Mielec	2014-03-03	2014-03-04	570,00
Rozalia	Parad	Mielec	2014-03-03	2014-03-05	698,00
Grzegorz	Podolski	Siedlce	2014-03-03	2014-03-03	156,40
Narcyz	Polanicki	Malbork	2014-03-03	2014-03-07	1524,00
Kamil	Pomorski	Olsztyn	2014-03-03	2014-03-07	1015,80
Rozalia	Siedlecka	Krakow	2014-03-03	2014-03-05	911,50
Karol	Witkiewicz	Olsztyn	2014-03-03	2014-03-07	1015,80
Adam	Wradoch	Kutno	2014-03-03	2014-03-03	278,80
Kamil	Zabrzeski	Radom	2014-03-03	2014-03-06	550,50
Marta	Nowowiejska	Katowice	2014-03-06	2014-03-06	494,70
Grzegorz	Podolski	Zgierz	2014-03-06	2014-03-06	212,50
Adam	Wradoch	Lublin	2014-03-07	2014-03-07	290,70
Amelia	Calika	Mielec	2014-03-09	2014-03-12	826,00
Wiktor	Budzis	Lublin	2014-03-10	2014-03-10	290,70
Ewa	Fidyk	Zgierz	2014-03-10	2014-03-12	450,50
Justyna	Kolska	Kielce	2014-03-10	2014-03-13	841,70
Albert	Marakasz	Radom	2014-03-10	2014-03-12	426,50
Zofia	Seredycka	Siedlce	2014-03-10	2014-03-12	434,40
Paulina	Maskor	Olsztyn	2014-03-11	2014-03-11	363,80
Rozalia	Siedlecka	Mielec	2014-03-11	2014-03-13	698,00
Rozalia	Parad	Kielce	2014-03-12	2014-03-12	307,70
Andrzej	Barcz	Zgierz	2014-03-15	2014-03-17	450,50
Karolina	Bizuta	Bydgoszcz	2014-03-15	2014-03-19	1077,40
Piotr	Bojarun	Kutno	2014-03-15	2014-03-16	407,80
Janina	Bolanowska	Olsztyn	2014-03-15	2014-03-18	852,80
Wiktor	Budzis	Mielec	2014-03-15	2014-03-17	698,00
Wiktor	Czekan	Malbork	2014-03-15	2014-03-18	1313,00
Marzena	Grab	Katowice	2014-03-15	2014-03-18	1091,70
Jerzy	Jurajski	Kutno	2014-03-15	2014-03-16	407,80
Andrzej	Kolarski	Katowice	2014-03-15	2014-03-19	1290,70
Justyna	Laska	Mielec	2014-03-15	2014-03-19	954,00
Wojciech	Magierowcz	Bydgoszcz	2014-03-15	2014-03-16	654,40
Wojciech	Mazowiecki	Mielec	2014-03-15	2014-03-15	442,00
Daria	Paryska	Malbork	2014-03-15	2014-03-17	1102,00
Karolina	Podkalicka	Krakow	2014-03-15	2014-03-17	911,50
Piotr	Sworacz	Krakow	2014-03-15	2014-03-19	1321,50
Justyna	Tracz	Katowice	2014-03-15	2014-03-18	1091,70
Kornel	Henrykowski	Olsztyn	2014-03-17	2014-03-19	689,80
Gustaw	Poznanski	Olsztyn	2014-03-17	2014-03-18	526,80
Piotr	Rajczakowski	Kielce	2014-03-17	2014-03-18	485,70
Amelia	Wojtecka	Malbork	2014-03-17	2014-03-17	680,00
Amadeusz	Helski	Katowice	2014-03-18	2014-03-18	494,70
Kacper	Krajewski	Radom	2014-03-18	2014-03-18	178,50
Dorota	Morska	Zgierz	2014-03-18	2014-03-19	331,50
Wiktor	Czekan	Katowice	2014-03-21	2014-03-25	1290,70
Paulina	Dok	Lublin	2014-03-21	2014-03-23	588,70
Jerzy	Dusznicki	Katowice	2014-03-21	2014-03-25	1290,70
Marek	Holski	Siedlce	2014-03-21	2014-03-22	295,40
Justyna	Krynicka	Kielce	2014-03-21	2014-03-23	663,70
Tomasz	Rzepka	Kalisz	2014-03-21	2014-03-22	601,00
Karolina	Janes	Siedlce	2014-03-27	2014-03-28	295,40
Andrzej	Klajn	Katowice	2014-03-27	2014-03-31	1290,70
Zuzanna	Kowalska	Kutno	2014-03-27	2014-03-31	794,80
Zofia	Seredycka	Bydgoszcz	2014-03-27	2014-03-28	654,40
Rozalia	Siedlecka	Katowice	2014-03-27	2014-03-28	693,70
Justyna	Tracz	Siedlce	2014-03-27	2014-03-30	573,40
Anna	Kaliska	Kutno	2014-04-02	2014-04-04	536,80
Justyna	Laska	Olsztyn	2014-04-02	2014-04-06	1015,80
Bogumiˆ	Lubelski	Mielec	2014-04-02	2014-04-05	826,00
Maria	Ozimek	Krakow	2014-04-02	2014-04-06	1321,50
Daria	Paryska	Katowice	2014-04-02	2014-04-04	892,70
Jan	Suwski	Siedlce	2014-04-02	2014-04-03	295,40
Rozalia	Parad	Kutno	2014-04-03	2014-04-07	794,80
Bonifacy	Barczewski	Siedlce	2014-04-08	2014-04-11	573,40
Piotr	Bojarun	Kalisz	2014-04-08	2014-04-10	760,00
Amadeusz	Helski	Radom	2014-04-08	2014-04-12	674,50
Dorota	Morska	Radom	2014-04-08	2014-04-11	550,50
Maria	Ozimek	Katowice	2014-04-08	2014-04-11	1091,70
January	Pluta	Krakow	2014-04-08	2014-04-12	1321,50
Sebastian	Argonski	Katowice	2014-04-14	2014-04-18	1290,70
Jerzy	Dusznicki	Malbork	2014-04-14	2014-04-16	1102,00
Andrzej	Kolarski	Malbork	2014-04-14	2014-04-15	891,00
Paulina	Maskor	Malbork	2014-04-14	2014-04-17	1313,00
Grzegorz	Podolski	Krakow	2014-04-14	2014-04-15	706,50
Wiktor	Wroblewski	Krakow	2014-04-14	2014-04-16	911,50
Justyna	Laska	Bydgoszcz	2014-04-18	2014-04-18	513,40
Dominika	Bodera	Katowice	2014-04-20	2014-04-22	892,70
Piotr	Malski	Olsztyn	2014-04-20	2014-04-21	526,80
Justyna	Laska	Kalisz	2014-04-23	2014-04-24	601,00
Ewelia	Prus	Olsztyn	2014-04-23	2014-04-24	526,80
Wiktor	Wroblewski	Kutno	2014-04-24	2014-04-24	278,80
Marzena	Grab	Kutno	2014-04-26	2014-04-30	794,80
Jerzy	Granica	Kalisz	2014-04-26	2014-04-29	919,00
Marcin	Jarskarski	Siedlce	2014-04-26	2014-04-27	295,40
Jerzy	Misiek	Olsztyn	2014-04-26	2014-04-27	526,80
Tomasz	Rzepka	Bydgoszcz	2014-04-26	2014-04-29	936,40
Jan	Rzymski	Siedlce	2014-04-26	2014-04-26	156,40
Karolina	Bizuta	Krakow	2014-04-28	2014-04-29	706,50
Marzena	Gras	Bydgoszcz	2014-05-02	2014-05-06	1077,40
Sebastian	Halik	Radom	2014-05-02	2014-05-04	426,50
Janusz	Jurkicz	Krakow	2014-05-02	2014-05-03	706,50
Patrycja	Andrycz	Bydgoszcz	2014-05-05	2014-05-06	654,40
Piotr	Armowicz	Lublin	2014-05-05	2014-05-05	290,70
Daria	Paryska	Mielec	2014-05-06	2014-05-07	570,00
Kornel	Czerski	Krakow	2014-05-08	2014-05-11	1116,50
Edwina	Elawa	Malbork	2014-05-08	2014-05-10	1102,00
Ewa	Fidyk	Radom	2014-05-08	2014-05-09	302,50
Wojciech	Krokus	Siedlce	2014-05-08	2014-05-11	573,40
January	Pluta	Bydgoszcz	2014-05-08	2014-05-11	936,40
Ewelia	Prus	Kielce	2014-05-08	2014-05-12	1019,70
Dominika	Bodera	Siedlce	2014-05-14	2014-05-17	573,40
Piotr	Bojarun	Lublin	2014-05-14	2014-05-18	886,70
Jerzy	Dusznicki	Bydgoszcz	2014-05-14	2014-05-18	1077,40
Marzena	Grab	Lublin	2014-05-14	2014-05-15	439,70
Sebastian	Halik	Lublin	2014-05-14	2014-05-16	588,70
Rozalia	Parad	Kutno	2014-05-14	2014-05-15	407,80
Sebastian	Puchacz	Lublin	2014-05-14	2014-05-16	588,70
Andrzej	Kolarski	Katowice	2014-05-20	2014-05-21	693,70
Piotr	Malski	Radom	2014-05-20	2014-05-24	674,50
Teresa	Moskiewska	Zgierz	2014-05-20	2014-05-23	569,50
Daria	Paryska	Mielec	2014-05-20	2014-05-23	826,00
Krystyna	Pleszewska	Lublin	2014-05-20	2014-05-24	886,70
Jan	Rzymski	Kielce	2014-05-20	2014-05-23	841,70
Piotr	Armowicz	Katowice	2014-05-26	2014-05-28	892,70
Wiktor	Budzis	Kielce	2014-05-26	2014-05-30	1019,70
Eustachy	Bydgoski	Siedlce	2014-05-26	2014-05-28	434,40
Amelia	Calika	Kalisz	2014-05-26	2014-05-29	919,00
Jerzy	Granica	Kalisz	2014-05-26	2014-05-29	919,00
January	Pluta	Kalisz	2014-05-26	2014-05-28	760,00
Piotr	Armowicz	Bydgoszcz	2014-06-01	2014-06-04	936,40
Anna	Augustowska	Lublin	2014-06-01	2014-06-04	737,70
Zofia	Budzianowska	Lublin	2014-06-01	2014-06-05	886,70
Jerzy	Dusznicki	Zgierz	2014-06-01	2014-06-03	450,50
Edwina	Elawa	Bydgoszcz	2014-06-01	2014-06-04	936,40
Zuzanna	Piotrkowska	Lublin	2014-06-01	2014-06-03	588,70
Piotr	Sworacz	Kalisz	2014-06-01	2014-06-03	760,00
Marzena	Grab	Zgierz	2014-06-02	2014-06-02	212,50
Jerzy	Granica	Kutno	2014-06-02	2014-06-02	278,80
Piotr	Rajczakowski	Lublin	2014-06-02	2014-06-04	588,70
Jan	Rzymski	Kutno	2014-06-02	2014-06-02	278,80
Natalia	Idar	Radom	2014-06-03	2014-06-03	178,50
Sebastian	Puchacz	Krakow	2014-06-03	2014-06-04	706,50
Ewa	Fidyk	Zgierz	2014-06-04	2014-06-05	331,50
Albert	Marakasz	Mielec	2014-06-04	2014-06-05	570,00
Jan	Rzymski	Krakow	2014-06-04	2014-06-05	706,50
Jerzy	Dusznicki	Krakow	2014-06-05	2014-06-05	501,50
Patrycja	Andrycz	Siedlce	2014-06-07	2014-06-07	156,40
Zofia	Budzianowska	Kielce	2014-06-07	2014-06-09	663,70
Adam	Falski	Katowice	2014-06-07	2014-06-11	1290,70
Dorota	Morska	Siedlce	2014-06-07	2014-06-11	712,40
Jan	Suwski	Bydgoszcz	2014-06-07	2014-06-09	795,40
January	Pluta	Kielce	2014-06-09	2014-06-10	485,70
Paulina	Basala	Kielce	2014-06-13	2014-06-15	663,70
Wiktor	Budzis	Kalisz	2014-06-13	2014-06-17	1078,00
Patrycja	Czarnoleska	Katowice	2014-06-13	2014-06-13	494,70
Edwina	Elawa	Kutno	2014-06-13	2014-06-17	794,80
Karolina	Janes	Katowice	2014-06-13	2014-06-16	1091,70
Andrzej	Kolarski	Katowice	2014-06-13	2014-06-16	1091,70
Zuzanna	Kowalska	Kutno	2014-06-13	2014-06-17	794,80
Justyna	Krynicka	Katowice	2014-06-13	2014-06-14	693,70
Ewa	Kwiska	Katowice	2014-06-13	2014-06-15	892,70
Zyta	Mazurkiewicz	Olsztyn	2014-06-13	2014-06-16	852,80
Teresa	Moskiewska	Katowice	2014-06-13	2014-06-13	494,70
Ewelia	Nyska	Mielec	2014-06-13	2014-06-13	442,00
Rozalia	Parad	Kielce	2014-06-13	2014-06-15	663,70
Krystyna	Pleszewska	Malbork	2014-06-13	2014-06-16	1313,00
Anna	Sobecka	Krakow	2014-06-13	2014-06-15	911,50
Albert	Marakasz	Kalisz	2014-06-16	2014-06-17	601,00
Ewelia	Prus	Mielec	2014-06-16	2014-06-16	442,00
Kacper	Krajewski	Zgierz	2014-06-19	2014-06-22	569,50
Zyta	Mazurkiewicz	Lublin	2014-06-19	2014-06-20	439,70
Ewelia	Nyska	Kielce	2014-06-19	2014-06-22	841,70
Katarzyna	Piotrowska	Bydgoszcz	2014-06-19	2014-06-21	795,40
Kamil	Pomorski	Katowice	2014-06-19	2014-06-23	1290,70
Kamil	Zabrzeski	Mielec	2014-06-19	2014-06-21	698,00
Bonifacy	Barczewski	Lublin	2014-06-25	2014-06-26	439,70
Paulina	Dok	Katowice	2014-06-25	2014-06-25	494,70
Paulina	Dok	Krakow	2014-06-25	2014-06-27	911,50
Olivia	Gabor	Malbork	2014-06-25	2014-06-26	891,00
Amadeusz	Helski	Kutno	2014-06-25	2014-06-28	665,80
Kacper	Krajewski	Bydgoszcz	2014-06-25	2014-06-27	795,40
Justyna	Laska	Bydgoszcz	2014-06-25	2014-06-26	654,40
Irma	Opoczna	Lublin	2014-06-25	2014-06-28	737,70
Lidia	Opolska	Lublin	2014-06-25	2014-06-29	886,70
Krystyna	Pleszewska	Siedlce	2014-06-25	2014-06-26	295,40
Karolina	Podkalicka	Olsztyn	2014-06-25	2014-06-27	689,80
Sebastian	Puchacz	Malbork	2014-06-25	2014-06-29	1524,00
Piotr	Roman	Siedlce	2014-06-25	2014-06-26	295,40
Tomasz	Rzepka	Kalisz	2014-06-25	2014-06-27	760,00
Anna	Sobecka	Bydgoszcz	2014-06-25	2014-06-27	795,40
Adam	Wradoch	Radom	2014-06-25	2014-06-26	302,50
Justyna	Laska	Olsztyn	2014-06-28	2014-06-28	363,80
Piotr	Bojarun	Katowice	2014-07-01	2014-07-05	1290,70
Andrzej	Kolarski	Bydgoszcz	2014-07-01	2014-07-05	1077,40
Michalina	Lamda	Kielce	2014-07-01	2014-07-03	663,70
Bogumiˆ	Lubelski	Radom	2014-07-01	2014-07-05	674,50
Teresa	Moskiewska	Krakow	2014-07-01	2014-07-03	911,50
Ewelia	Prus	Radom	2014-07-01	2014-07-04	550,50
Anna	Augustowska	Katowice	2014-07-07	2014-07-09	892,70
Wiktor	Czekan	Mielec	2014-07-07	2014-07-09	698,00
Jerzy	Dusznicki	Lublin	2014-07-07	2014-07-10	737,70
Jerzy	Granica	Kutno	2014-07-07	2014-07-08	407,80
Amadeusz	Helski	Kalisz	2014-07-07	2014-07-10	919,00
Marcin	Jarskarski	Lublin	2014-07-07	2014-07-08	439,70
Andrzej	Kolarski	Bydgoszcz	2014-07-07	2014-07-09	795,40
