Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
50;Marek;Frymarkiewicz;Politechnika Informatyczno-Elektroniczna;Wegorzewo;I;1712
51;Gerard;Graczynski;Uniwersytet Pedagogiczny;Rogoznik;I;1573
52;Stefan;Skoczkowski;Uniwersytet Krolewski;Sosnowiec;II;2279
53;Gabriela;Kawka;Uniwersytet Sportu i Turystyki;Bezledy;II;2273
54;Klementyna;Bobkowicz;Uniwersytet Krolewski;Zawiercie;III;3056
55;Artur;Bartoszewicz;Uniwersytet Sportu i Turystyki;Slawkow;I;2177
56;Michal;Grzesiak;Politechnika Informatyczno-Elektroniczna;Wroclaw;V;2239
57;Ewelina;Korpet;Uniwersytet Krolewski;Ustron;V;2204
58;Radomila;Bojka;Uniwersytet Sportu i Turystyki;Ledziny;III;1403
59;Maciej;Drozdzik;Politechnika Informatyczno-Elektroniczna;Szczyrk;V;1142
60;Jerzy;Przybylski;Uniwersytet Sportu i Turystyki;Swietochlowice;I;979
61;Hanna;Baron;Politechnika Krolewska;Jaslo;I;2509
62;Teresa;Bajerska;Uniwersytet Sportu i Turystyki;Tworog;II;3010
63;Danuta;Bednar;Politechnika Krolewska;Zywiec;I;1933
64;Boguslawa;Keta;Politechnika Krolewska;Bedzin;II;3013
65;Beata;Grabowska;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;V;2838
66;Stefania;Zakrzewska;Politechnika Informatyczno-Elektroniczna;Sucha Beskidzka;II;420
67;Anna;Barcikowska;Politechnika Informatyczno-Elektroniczna;Lubaczow;I;3099
68;Tadeusz;Holski;Politechnika Krolewska;Sosnicowice;II;1945
69;Aleksandra;Drabicka;Uniwersytet Krolewski;Cieszyn;I;2163
70;Igor;Krynicki;Politechnika Informatyczno-Elektroniczna;Rajcza;I;1248
71;Boleslaw;Ludziejewski;Politechnika Informatyczno-Elektroniczna;Nowy Targ;I;2979
72;Danuta;Wojciechowska;Uniwersytet Krolewski;Bedzin;V;1298
73;Katarzyna;Kausek;Uniwersytet Pedagogiczny;Strzelce Opolskie;I;847
74;Maria;Swoboda;Politechnika Krolewska;Leszno;I;1032
75;Witold;Basik;Politechnika Informatyczno-Elektroniczna;Debica;II;2428
76;Brygida;Mika;Politechnika Krolewska;Tarnobrzeg;IV;562
77;Mariola;Barszczon;Uniwersytet Pedagogiczny;Oswiecim;I;2664
78;Karina;Wozniak;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;V;2485
79;Michal;Kostrzewa;Politechnika Informatyczno-Elektroniczna;Katowice;III;2267
80;Artur;Duszczyk;Politechnika Informatyczno-Elektroniczna;Zawiercie;I;715
81;Nikodem;Nowicki;Uniwersytet Sportu i Turystyki;Jejkowice;V;1703
82;Jadwiga;Borek;Uniwersytet Krolewski;Naleczow;V;1634
83;Jaroslaw;Firek;Uniwersytet Rolniczy;Jaslo;IV;2697
84;Grzegorz;Podsiadly;Uniwersytet Sportu i Turystyki;Swietochlowice;I;1454
85;Wawrzyniec;Kalinowski;Uniwersytet Krolewski;Ogrodzieniec;V;875
86;Boleslaw;Drozdz;Uniwersytet Krolewski;Poraj;I;1233
87;Korneliusz;Gajos;Politechnika Krolewska;Otmuchow;II;1517
88;Agnieszka;Muszynska;Uniwersytet Krolewski;Dabrowa Gornicza;I;795
89;Alicja;Bankowska;Uniwersytet Krolewski;Swietochlowice;I;2913
90;Barbara;Boronowska;Akademia Sztuk Pieknych;Kielce;I;874
91;Ireneusz;Pazdziernik;Politechnika Krolewska;Koszalin;II;2759
92;Maciej;Golec;Politechnika Informatyczno-Elektroniczna;Halinow;II;1906
93;Maciej;Slomczynski;Uniwersytet Krolewski;Nowy Targ;I;710
94;Tymon;Czarna;Politechnika Krolewska;Monki;IV;1051
95;Janina;Lina;Politechnika Informatyczno-Elektroniczna;Raciborz;I;2968
96;Kaja;Kalwas;Uniwersytet Krolewski;Nowy Sacz;II;1600
97;Anna;Pulka;Uniwersytet Krolewski;Jaworzno;I;1600
98;Waclawa;Kasperek;Politechnika Informatyczno-Elektroniczna;Grudziadz;II;2710
99;Cezary;Karpowicz;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;I;2993
100;Malgorzata;Balcerzak;Politechnika Informatyczno-Elektroniczna;Jaworzynka;I;748
101;Kacper;Wosik;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;2343
102;Stefan;Biegajski;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;1837
103;Tomasz;Jasak;Uniwersytet Krolewski;Przemysl;III;923
104;Witold;Barylkiewicz;Uniwersytet Ekonomiczny;Raciborz;II;632
105;Michal;Bilski;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;II;2807
106;Kazimierz;Sycowski;Uniwersytet Rolniczy;Nowy Targ;I;2331
107;Marcin;Bacz;Uniwersytet Pedagogiczny;Gorzow Wielkopolski;I;2973
108;Jolanta;Czubacka;Politechnika Informatyczno-Elektroniczna;Oswiecim;I;2385
109;Andrzej;Jurkowski;Politechnika Informatyczno-Elektroniczna;Szczyrk;IV;1487
110;Ireneusz;Alotek;Politechnika Informatyczno-Elektroniczna;Myslowice;I;3140
111;Janusz;Judycki;Uniwersytet Ekonomiczny;Kruszwica;I;1361
112;Grazyna;Pawlowska;Politechnika Krolewska;Halinow;V;2799
113;Adam;Sliz;Politechnika Krolewska;Piwniczna-Zdroj;I;1077
114;Damian;Bawicz;Politechnika Krolewska;Kety;I;1161
115;Bronislawa;Wegrzyn;Politechnika Krolewska;Radom;IV;2404
116;Jaromir;Gonczyk;Politechnika Informatyczno-Elektroniczna;Radom;III;2523
117;Amadeusz;Toborek;Politechnika Krolewska;Jedrzejow;II;2469
118;Jakub;Socha;Uniwersytet Rolniczy;Kielce;I;2025
119;Katarzyna;Dwornik;Politechnika Informatyczno-Elektroniczna;Siewierz;I;2745
120;Celina;Wisniewska;Politechnika Informatyczno-Elektroniczna;Tarnow;I;822
121;Konstancja;Raszyn;Politechnika Informatyczno-Elektroniczna;Gorki Male;II;2946
122;Edyta;Tomczyk;Uniwersytet Krolewski;Deblin;II;2384
123;Jerzy;Semeniuk;Politechnika Krolewska;Zabrze;I;1482
124;Helena;Maczynska;Uniwersytet Krolewski;Monki;I;2171
125;Jaroslaw;Bajda;Politechnika Informatyczno-Elektroniczna;Klomnice;I;1182
126;Klemens;Rokosz;Politechnika Krolewska;Chyzne;I;667
127;Jakub;Wtorek;Politechnika Krolewska;Chorzow;V;3263
128;Adrianna;Brzezinska;Politechnika Krolewska;Sosnowiec;III;2913
129;Karol;Binski;Politechnika Krolewska;Wadowice;I;2497
130;Iwona;Nyska;Uniwersytet Krolewski;Katowice;I;2169
131;Cecylia;Czylok;Uniwersytet Krolewski;Kedzierzyn-Kozle;I;828
132;Mateusz;Antoniak;Politechnika Krolewska;Bytom;I;2699
133;Adam;Kaleta;Uniwersytet Krolewski;Myslowice;I;1446
134;Michal;Salacinski;Politechnika Informatyczno-Elektroniczna;Lublin;II;1608
135;Krzysztof;Krzesinski;Uniwersytet Rolniczy;Kety;I;2586
136;Zofia;Gorajska;Politechnika Krolewska;Olkusz;II;2428
137;Janusz;Aleksandrowicz;Politechnika Informatyczno-Elektroniczna;Gdynia;I;2701
138;Danuta;Zasada;Politechnika Informatyczno-Elektroniczna;Nowy Sacz;I;525
139;Aleksander;Rutkowski;Politechnika Informatyczno-Elektroniczna;Zakopane;IV;560
140;Karina;Mikolajczak;Politechnika Informatyczno-Elektroniczna;Kruszwica;I;642
141;Aleksy;Pobereznik;Politechnika Informatyczno-Elektroniczna;Jaworzno;III;3152
142;Beata;Domnicz;Politechnika Krolewska;Dzierzoniow;V;3177
143;Juliusz;Blazowski;Politechnika Informatyczno-Elektroniczna;Bransk;IV;3144
144;Kacper;Stachowicz;Uniwersytet Krolewski;Sucha Beskidzka;II;775
145;Paulina;Lewinska;Uniwersytet Krolewski;Przemysl;I;714
146;Krzysztof;Wroblewski;Politechnika Informatyczno-Elektroniczna;Piotrkow Trybunalski;I;919
147;Jan;Bieniek;Uniwersytet Krolewski;Rogoznik;I;805
148;Magdalena;Wawrzyn;Politechnika Informatyczno-Elektroniczna;Ledziny;I;1189
149;Marek;Bakucha;Akademia Sztuk Pieknych;Szczyrk;I;3313
150;Teofil;Chudy;Politechnika Informatyczno-Elektroniczna;Mikolow;II;2530
151;Krzysztof;Rosiewicz;Politechnika Krolewska;Ogrodzieniec;I;680
152;Mikolaj;Jozwiak;Politechnika Krolewska;Gieraltowice;I;1880
153;Olga;Berus;Politechnika Informatyczno-Elektroniczna;Jaworzynka;I;2791
154;Halina;Haczyk;Uniwersytet Krolewski;Pszczyna;V;3243
155;Sebastian;Lewandowski;Uniwersytet Ekonomiczny;Sosnowiec;II;1434
156;Barbara;Kotwicka;Uniwersytet Krolewski;Leczyca;V;2308
157;Jerzy;Bolkowicz;Politechnika Krolewska;Rybnik;I;2451
158;Michal;Wojciechowski;Politechnika Informatyczno-Elektroniczna;Swiecko;V;2423
159;Inga;Barskacz;Politechnika Informatyczno-Elektroniczna;Slawkow;I;2848
160;Jerzy;Lubec;Politechnika Informatyczno-Elektroniczna;Slawkow;I;1599
161;Malgorzata;Szulim;Politechnika Informatyczno-Elektroniczna;Debowiec;I;1899
162;Marcin;Hebda;Politechnika Informatyczno-Elektroniczna;Rabka;I;2725
163;Andrzej;Wieczorek;Politechnika Krolewska;Sanok;III;2555
164;Jan;Babul;Uniwersytet Krolewski;Zywiec;I;2720
165;Kinga;Myszograj;Politechnika Krolewska;Pszczyna;IV;2155
166;Grazyna;Chrust;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;792
167;Dorota;Pietrowicz;Politechnika Informatyczno-Elektroniczna;Wadowice;I;1071
168;Hanna;Wrona;Politechnika Informatyczno-Elektroniczna;Szczekociny;V;1493
169;Janusz;Wysocki;Uniwersytet Rolniczy;Chorzow;I;1191
170;Adam;Baryla;Politechnika Krolewska;Ciechocinek;I;1347
171;Szymon;Duda;Uniwersytet Krolewski;Zabrodzie;I;1160
172;Anna;Bialowas;Uniwersytet Pedagogiczny;Szczekociny;I;1544
173;Grzegorz;Szlachcic;Politechnika Krolewska;Olkusz;II;2675
174;Kuba;Hauser;Politechnika Informatyczno-Elektroniczna;Myslowice;IV;2481
175;Dariusz;Adamus;Politechnika Informatyczno-Elektroniczna;Debrzno;I;813
176;Franciszek;Bielanski;Politechnika Krolewska;Ogrodzieniec;IV;3125
177;Adam;Konopka;Uniwersytet Krolewski;Rybnik;V;1489
178;Monika;Lawrynowicz;Uniwersytet Krolewski;Nowy Targ;I;2835
179;Kacper;Fastnacht;Politechnika Informatyczno-Elektroniczna;Swietochlowice;I;998
180;Roman;Persinski;Politechnika Informatyczno-Elektroniczna;Gliwice;II;1431
181;Piotr;Kuter;Uniwersytet Krolewski;Sosnowiec;I;738
182;Wojciech;Kujdowicz;Uniwersytet Krolewski;Legnica;V;2637
183;Angelika;Merak;Politechnika Krolewska;Zywiec;II;415
184;Anna;Owsianka;Politechnika Informatyczno-Elektroniczna;Lwowek Slaski;III;429
185;Walery;Szurkowski;Uniwersytet Pedagogiczny;Brzeg Dolny;IV;352
186;Karol;Kopycki;Uniwersytet Krolewski;Chorzow;I;794
187;Franciszek;Szombierski;Akademia Sztuk Pieknych;Wolbrom;III;698
188;Ewelia;Michaliska;Politechnika Informatyczno-Elektroniczna;Zakopane;I;2309
189;Kacper;Slawinski;Uniwersytet Rolniczy;Kedzierzyn-Kozle;III;1901
190;Ewelina;Hassan;Uniwersytet Krolewski;Kleszczow;V;2767
191;Arkadiusz;Godowski;Uniwersytet Krolewski;Bialystok;II;1845
192;Tymon;Czarnecki;Politechnika Krolewska;Miedzyrzecze;II;2025
193;Alina;Batorek;Uniwersytet Rolniczy;Pszczyna;I;1309
194;Michal;Prazuch;Politechnika Informatyczno-Elektroniczna;Kielce;V;2534
195;Czeslaw;Kos;Uniwersytet Sportu i Turystyki;Ogrodzieniec;I;1980
196;Jan;Sikorski;Politechnika Informatyczno-Elektroniczna;Sosnicowice;I;2217
197;Teresa;Polaska;Politechnika Informatyczno-Elektroniczna;Warszawa;II;2771
198;Damian;Kulesza;Uniwersytet Krolewski;Rabka;I;2883
199;Robert;Chochol;Uniwersytet Krolewski;Kleszczow;II;1680
200;Anna;ocon;Politechnika Krolewska;Myszkow;III;3019
201;Maria;Wolczynska;Uniwersytet Krolewski;Strzelce Opolskie;I;1862
202;Piotr;Bros;Uniwersytet Krolewski;Mikolow;V;2849
203;Arkadiusz;Bracki;Uniwersytet Ekonomiczny;Kedzierzyn-Kozle;V;2665
204;Krzysztof;Checinski;Politechnika Krolewska;Bydgoszcz;I;2484
205;Wiktor;Gorecki;Politechnika Krolewska;Pyrzowice;II;3274
206;Malgorzata;Stojecka;Akademia Sztuk Pieknych;Bedzin;I;2932
207;Karolina;Anuszewska;Politechnika Krolewska;Wolbrom;I;1973
208;Janusz;Chmielowski;Uniwersytet Sportu i Turystyki;Rybnik;I;2349
209;Zofia;Bujak;Uniwersytet Rolniczy;Ogrodzieniec;II;2484
210;Marek;Lichwa;Politechnika Informatyczno-Elektroniczna;Hrebenne;V;2321
211;Bozena;Symanska;Uniwersytet Sportu i Turystyki;Zawiercie;III;873
212;Zofia;Cedrowska;Uniwersytet Krolewski;Jedrzejow;II;805
213;Beata;Kowalczyk;Politechnika Informatyczno-Elektroniczna;Bedzin;V;2191
214;Bartlomiej;Stec;Uniwersytet Krolewski;Bielsko - Biala;I;1453
215;Katarzyna;Schmidt;Politechnika Informatyczno-Elektroniczna;Myslowice;IV;2151
216;Stefania;Stolowska;Politechnika Krolewska;Koscian;II;2867
217;Adam;Rabka;Uniwersytet Krolewski;Radom;I;510
218;Maciej;Mijak;Uniwersytet Rolniczy;Katowice;V;2408
219;Piotr;Swiezy;Uniwersytet Krolewski;Myslowice;II;558
220;Adrianna;Gorska;Politechnika Informatyczno-Elektroniczna;Chelm;IV;719
221;Beata;Mikolajczyk;Uniwersytet Muzyczny;Otmuchow;I;2862
222;Maciej;Buzek;Uniwersytet Krolewski;Kuznica Bialostocka;V;1311
223;Katarzyna;Sokolowska;Uniwersytet Krolewski;Zakopane;III;2656
224;Jerzy;Kielski;Uniwersytet Krolewski;Zory;I;1258
225;Roman;Dusza;Politechnika Krolewska;Chorzow;V;838
226;Agnieszka;Korandy;Uniwersytet Ekonomiczny;Tarnobrzeg;I;3222
227;Joanna;Dymna;Uniwersytet Sportu i Turystyki;Chorzow;I;2137
228;Urszula;Legnicka;Politechnika Informatyczno-Elektroniczna;Sopot;II;468
229;Krystyna;Sekocinska;Uniwersytet Krolewski;Terespol;I;979
230;Aureliusz;Dabrowski ;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg;II;2910
231;Jerzy;Bargiel;Politechnika Informatyczno-Elektroniczna;Rajcza;I;898
232;Tomasz;Broniarz;Politechnika Informatyczno-Elektroniczna;Sopot;III;1123
233;Lucyna;Sokolowska;Uniwersytet Krolewski;Kepice;I;2980
234;Luiza;Pawlak;Politechnika Krolewska;Zory;II;1904
235;Weronika;Stroka;Politechnika Krolewska;Ruda Slaska;II;2180
236;Walenty;Kaczor;Uniwersytet Sportu i Turystyki;Wisla;II;520
237;Szymon;Figurski;Uniwersytet Krolewski;Tworog;II;1496
238;Jadwiga;Grobelny;Politechnika Krolewska;Zory;III;2635
239;Piotr;Nowicki;Politechnika Informatyczno-Elektroniczna;Glucholazy;IV;1121
240;Franciszek;Bebenek;Uniwersytet Krolewski;Tworog;I;2572
241;Anna;Trzebnicka;Akademia Sztuk Pieknych;Olkusz;I;1151
242;Adam;Witczak;Uniwersytet Krolewski;Bedzin;III;735
243;Natalia;Chlopecka;Politechnika Krolewska;Piwniczna-Zdroj;I;2101
244;Jacek;Andrzejewski;Uniwersytet Krolewski;Ruda Slaska;III;2241
245;Agnieszka;Malbolrska;Politechnika Krolewska;Chyzne;I;2814
246;Karolina;Rosiak;Uniwersytet Krolewski;Gliwice;I;1417
247;Aneta;Klucha;Uniwersytet Krolewski;Dabrowa Gornicza;I;1165
248;Bartosz;Adamiec;Politechnika Krolewska;Koniakow;I;2668
249;Piotr;Garncarz;Uniwersytet Krolewski;Brzeg Dolny;III;863
250;Kamil;Dabrowski;Politechnika Informatyczno-Elektroniczna;Chorzow;I;749
251;Marek;Majchrowicz;Politechnika Krolewska;Lubliniec;I;2405
252;Olgierd;Dudzinski;Uniwersytet Krolewski;Poznan;I;3136
253;Anna;Sawiciak;Uniwersytet Ekonomiczny;Wolbrom;I;2285
254;Paulina;Raszczyk;Uniwersytet Krolewski;Deblin;I;2678
255;Fryderyka;Slowik;Politechnika Informatyczno-Elektroniczna;Zgorzelec;IV;438
256;Mieszko;Cisna;Uniwersytet Krolewski;Sosnowiec;II;3313
257;Janusz;Waz;Uniwersytet Ekonomiczny;Tarnobrzeg;I;2917
258;Wojciech;Bugaj;Politechnika Informatyczno-Elektroniczna;Ruda Slaska;I;2657
259;Marcin;Slomczynski;Uniwersytet Krolewski;Sosnicowice;II;1869
260;Franciszek;Laczynski;Uniwersytet Krolewski;Wadowice;V;2881
261;Korneliusz;Adamecki;Wyzsza Szko³a Techniczna;Sucha Beskidzka;III;1726
262;Wawrzyniec;Kozina;Politechnika Informatyczno-Elektroniczna;Gdansk;I;2700
263;Pawel;Wojcicki;Uniwersytet Krolewski;Rajcza;V;1981
264;Klemens;Radzik;Uniwersytet Krolewski;Lublin;II;672
265;Karol;Mazurowski;Uniwersytet Krolewski;Wojkowice;IV;719
266;Krzysztof;Antczak;Uniwersytet Ekonomiczny;Gieraltowice;I;2472
267;Jerzy;Orowski;Politechnika Krolewska;Wisla;III;796
268;Alicja;Kobus;Politechnika Informatyczno-Elektroniczna;Rajcza;I;2409
269;Adam;Michalak;Uniwersytet Pedagogiczny;Sosnicowice;I;1259
270;Norbert;Boronski;Politechnika Informatyczno-Elektroniczna;Wadowice;I;1317
271;Seweryn;Wawa;Politechnika Informatyczno-Elektroniczna;Kostrzyn;IV;1309
272;Renata;Kaluza;Uniwersytet Rolniczy;Kuznia Raciborska;II;2790
273;Ewa;Berak;Uniwersytet Krolewski;Gorki Male;I;2110
274;Marcin;Bajdak;Politechnika Krolewska;Tarnow;I;2485
275;Iwona;Wegier;Politechnika Informatyczno-Elektroniczna;Zawiercie;I;1344
276;Franciszek;Kusch;Uniwersytet Pedagogiczny;Deblin;V;1802
277;Lukasz;Klos;Uniwersytet Krolewski;Mikolajki;III;2482
278;Karolina;Weiss;Politechnika Informatyczno-Elektroniczna;Legnica;I;871
279;Tadeusz;Regulski;Politechnika Informatyczno-Elektroniczna;Gryfice;I;1075
280;Beata;Jasinska;Uniwersytet Rolniczy;Siemianowice Slaskie;I;968
281;Aleksander;Ogonowski;Uniwersytet Rolniczy;Koniakow;I;1229
282;Eleonora;Kosa;Politechnika Informatyczno-Elektroniczna;Sanok;I;455
283;Adrian;Baka;Politechnika Informatyczno-Elektroniczna;Ruda Slaska;I;3195
284;Czeslawa;Bochenek;Politechnika Krolewska;Ogrodniki;I;1883
285;Tomasz;Leganowski;Politechnika Krolewska;Bielsko - Biala;IV;2018
286;Sebastian;Adalewski;Akademia Sztuk Pieknych;Chalupki;II;2821
287;Bronislawa;Chmielewska;Uniwersytet Rolniczy;Glubczyce;IV;2931
288;Daria;Dyrbusz;Uniwersytet Krolewski;Alwernia;I;1779
289;Olga;Gonerska;Uniwersytet Krolewski;Ledziny;I;1990
290;Radoslaw;Niedziela;Politechnika Krolewska;Rabka;II;2283
291;Arkadiusz;Sokolowski;Politechnika Krolewska;Bytom;I;1964
292;Zofia;Bylska;Akademia Sztuk Pieknych;Dzierzoniow;II;1822
293;Slawomir;Rojek;Uniwersytet Krolewski;Plock;III;1093
294;Robert;Pilski;Politechnika Informatyczno-Elektroniczna;Ruda Slaska;II;1756
295;Janina;Bernacik;Uniwersytet Ekonomiczny;Katowice;I;2356
296;Mateusz;Swierszczynski;Uniwersytet Rolniczy;Ustron;V;3080
297;Tomasz;Wan;Uniwersytet Krolewski;Bochnia;II;1258
298;Alicja;Miskowiec;Politechnika Informatyczno-Elektroniczna;Koniakow;V;2730
299;Piotr;Piwnik;Politechnika Krolewska;Katowice;I;1592
300;Jan;Bator;Politechnika Krolewska;Katowice;I;2738
301;Eleonora;Mrowka;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;I;2064
302;Andrzej;Beki;Politechnika Krolewska;Tychy;I;465
303;Boleslawa;Kucharska;Uniwersytet Krolewski;Gliwice;V;1291
304;Wojciech;Fujarewicz;Politechnika Informatyczno-Elektroniczna;Zabrze;II;2125
305;Iwona;Grzybek;Politechnika Krolewska;Chorzow;I;787
306;Maria;Zwojec;Uniwersytet Krolewski;Sosnowiec;I;2155
307;Mateusz;Kandora;Uniwersytet Krolewski;Bedzin;I;3218
308;Daniel;Barszcz;Uniwersytet Krolewski;Sanok;I;2273
309;Teresa;Grudzinska;Uniwersytet Krolewski;Swietochlowice;II;1283
310;Franciszka;Nowicka;Uniwersytet Krolewski;Bytom;II;1863
311;Karolina;Bajerowicz;Uniwersytet Krolewski;Naleczow;I;1965
312;Barbara;Wszedobyl;Uniwersytet Pedagogiczny;Chalupki;I;1182
313;Izolda;Jaros;Politechnika Informatyczno-Elektroniczna;Jakuszyce;I;2207
314;Grazyna;Gorska;Politechnika Krolewska;Zyrardow;V;1453
315;Piotr;Kacprzak;Uniwersytet Krolewski;Bielsko - Biala;I;983
316;Grzegorz;Balon;Politechnika Informatyczno-Elektroniczna;Zakopane;III;917
317;Zdzislawa;Modrzewska;Politechnika Krolewska;Mlynarze;III;2124
318;Aleksander;Biborski;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;3254
319;Dominik;Felinski;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;V;2842
320;Arkadiusz;Maciejewski;Politechnika Informatyczno-Elektroniczna;Zamosc;IV;1879
321;Milosz;Ostrowski;Uniwersytet Krolewski;Limanowa;I;978
322;Marzena;Skrzypek;Uniwersytet Sportu i Turystyki;Lazy;V;2409
323;Tomasz;Krawczyk;Politechnika Informatyczno-Elektroniczna;Sanok;II;1655
324;Andrzej;Knot;Uniwersytet Pedagogiczny;Jastrzebie-Zdroj;I;356
325;Mateusz;Buczek;Politechnika Krolewska;Oswiecim;I;2275
326;Piotr;Tyborowski;Uniwersytet Krolewski;Katowice;III;2325
327;Klaudia;Kotowicz;Politechnika Informatyczno-Elektroniczna;Katowice;I;1950
328;Mateusz;Bartoszewski;Politechnika Informatyczno-Elektroniczna;Mikolow;I;2149
329;Michal;Antkowicz;Uniwersytet Krolewski;Gliwice;I;2265
330;Barbara;Bakan;Politechnika Informatyczno-Elektroniczna;Radom;I;1218
331;Grzegorz;Styczen;Politechnika Krolewska;Szczecinek;III;931
332;Agata;Babulak;Politechnika Krolewska;Lwowek Slaski;I;2170
333;Ewelina;Kocharyan;Politechnika Informatyczno-Elektroniczna;Zory;I;1118
334;Barbara;Solska;Uniwersytet Sportu i Turystyki;Rogoznik;I;678
335;Dominik;Kondratowicz;Uniwersytet Krolewski;Pszczyna;V;2209
336;Kacper;Wozniak;Uniwersytet Pedagogiczny;Lublin;V;1897
337;Jagna;Meller;Politechnika Informatyczno-Elektroniczna;Koniakow;V;3247
338;Gabriela;Mroz;Uniwersytet Krolewski;Siemianowice Slaskie;I;1033
339;Mateusz;Bernacki;Uniwersytet Krolewski;Wroclaw;III;846
340;Anna;Cender;Uniwersytet Pedagogiczny;Miechow;I;2190
341;Ewa;Seweryn;Uniwersytet Krolewski;Raciborz;I;1206
342;Roza;Biernaczyk;Politechnika Krolewska;Rybnik;IV;378
343;Andrzej;Pyza;Politechnika Krolewska;Nowy Sacz;I;788
344;Henryk;Mordyan;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg;I;1126
