Data_wypozycz	Data_zwrotu	ID_sprzetu	Transport_km	Nr_dowodu_osoby
2014-01-28	2014-02-02	15	0	XMX242176
2014-01-28	2014-01-30	128	0	CMX733684
2014-01-28	2014-01-29	47	0	BXO888464
2014-01-29	2014-02-03	96	0	SJD118927
2014-01-29	2014-02-03	20	0	KYX618206
2014-01-29	2014-02-03	120	0	ZCB332983
2014-01-29	2014-02-02	8	0	FQF083434
2014-01-30	2014-02-03	140	0	XYZ843034
2014-01-30	2014-02-03	132	0	IXX818003
2014-01-30	2014-02-02	135	0	KCE368021
2014-01-30	2014-02-02	54	0	XFM196233
2014-01-31	2014-02-02	21	7	XMJ975335
2014-01-31	2014-02-05	129	0	XKX271161
2014-01-31	2014-02-04	36	0	IIB507780
2014-01-31	2014-02-03	48	0	BIM845598
2014-02-03	2014-02-10	97	5	DBC885258
2014-02-03	2014-02-10	41	0	GGE508548
2014-02-03	2014-02-06	26	0	FBC958790
2014-02-03	2014-02-06	80	0	FCZ741099
2014-02-03	2014-02-05	4	0	RZF689949
2014-02-03	2014-02-05	89	0	MSM269067
2014-02-03	2014-02-04	63	0	ZZD517271
2014-02-03	2014-02-04	34	0	BJI273060
2014-02-04	2014-02-10	1	0	XBM651727
2014-02-04	2014-02-09	6	0	CKX021909
2014-02-04	2014-02-09	134	0	XGF570691
2014-02-04	2014-02-06	58	0	FUX829494
2014-02-05	2014-02-10	32	0	FFZ359389
2014-02-05	2014-02-09	73	0	JID703578
2014-02-05	2014-02-06	70	0	PDD882313
2014-02-05	2014-02-06	50	0	FGC445356
2014-02-06	2014-02-11	52	0	HFM817592
2014-02-06	2014-02-10	114	0	CMC554116
2014-02-06	2014-02-09	79	0	KJX351326
2014-02-06	2014-02-09	91	0	MCF236671
2014-02-07	2014-02-09	67	12	FCK820182
2014-02-07	2014-02-12	122	0	FIJ187275
2014-02-07	2014-02-10	30	0	GSG667856
2014-02-07	2014-02-09	10	0	FFC222192
2014-02-10	2014-02-17	99	16	XGE642874
2014-02-10	2014-02-17	61	0	MIN023987
2014-02-10	2014-02-17	62	0	CBW429835
2014-02-10	2014-02-13	64	0	XOX229153
2014-02-10	2014-02-13	124	0	KRB236188
2014-02-10	2014-02-12	86	0	CGK047704
2014-02-10	2014-02-11	151	0	ZHB692941
2014-02-11	2014-02-17	4	0	XMB081377
2014-02-11	2014-02-16	1	0	HMD727112
2014-02-11	2014-02-16	7	0	CKH045116
2014-02-11	2014-02-13	49	0	MGK522274
2014-02-11	2014-02-13	131	0	FBG121767
2014-02-11	2014-02-13	11	0	ZFZ247121
2014-02-11	2014-02-12	82	0	BHC573618
2014-02-11	2014-02-12	103	0	CZG017456
2014-02-12	2014-02-17	141	0	MBE716052
2014-02-12	2014-02-16	78	0	XXK774138
2014-02-12	2014-02-13	56	0	CPJ088428
2014-02-12	2014-02-13	60	0	FFY755975
2014-02-13	2014-02-18	139	0	BFB499719
2014-02-13	2014-02-17	19	0	CMM575472
2014-02-13	2014-02-16	107	0	XMG205352
2014-02-13	2014-02-16	146	0	MCC812850
2014-02-13	2014-02-16	87	0	WZY815908
2014-02-13	2014-02-16	123	0	CFG203268
2014-02-14	2014-02-19	99	22	GFF123127
2014-02-14	2014-02-19	98	9	CUG722825
2014-02-14	2014-02-19	2	0	ZID024668
2014-02-14	2014-02-17	92	0	MFI869358
2014-02-14	2014-02-16	16	0	CGX394241
2014-02-17	2014-02-24	97	18	XSF478188
2014-02-17	2014-02-20	131	0	ZIB392721
2014-02-17	2014-02-20	88	0	HMX115591
2014-02-17	2014-02-20	63	0	CFD850476
2014-02-17	2014-02-19	6	0	OZB361190
2014-02-17	2014-02-19	105	0	BFO834818
2014-02-18	2014-02-24	91	0	MGF041794
2014-02-18	2014-02-24	108	0	FFW198543
2014-02-18	2014-02-23	134	0	XGO892585
2014-02-18	2014-02-23	20	0	YJH889894
2014-02-19	2014-02-24	33	0	NXK787354
2014-02-19	2014-02-24	83	0	KZM554111
2014-02-19	2014-02-24	128	0	HXF670422
2014-02-19	2014-02-23	137	0	CXM751363
2014-02-19	2014-02-20	93	0	CFW553114
2014-02-20	2014-02-25	135	0	IZZ155599
2014-02-20	2014-02-24	37	0	BGM240744
2014-02-20	2014-02-24	114	0	KHM823912
2014-02-20	2014-02-23	107	0	DFM728155
2014-02-21	2014-02-24	97	15	RBH136399
2014-02-21	2014-02-25	27	0	ZFH966886
2014-02-21	2014-02-25	31	0	GKG849027
2014-02-21	2014-02-24	36	0	KMU643654
2014-02-24	2014-02-27	133	13	HMX179951
2014-02-24	2014-02-27	23	7	MHD757894
2014-02-24	2014-03-02	106	0	ESH232611
2014-02-24	2014-03-02	51	0	FMF975737
2014-02-24	2014-02-27	56	0	ZYG525573
2014-02-24	2014-02-27	143	0	ZFF498967
2014-02-24	2014-02-26	132	0	GCG740636
2014-02-25	2014-03-03	20	0	FZF762134
2014-02-25	2014-03-02	55	0	WOD464188
2014-02-25	2014-03-02	1	0	MWF302680
2014-02-25	2014-02-26	25	0	FPX824139
2014-02-26	2014-03-03	19	0	DCM382462
2014-02-26	2014-03-03	54	0	MHL063414
2014-02-26	2014-03-02	15	0	CGP405495
2014-02-26	2014-02-27	139	0	SZG827965
2014-02-27	2014-03-04	68	6	FMX800662
2014-02-27	2014-03-04	94	0	MMM753063
2014-02-27	2014-03-03	57	0	MCM939933
2014-02-27	2014-03-03	77	0	ZXX534740
2014-02-27	2014-03-02	87	0	GXX297536
2014-02-27	2014-03-02	100	0	GEC632241
2014-02-27	2014-03-02	60	0	KFM617258
2014-02-28	2014-03-04	99	8	ZXF372313
2014-02-28	2014-03-04	24	6	JXL806076
2014-02-28	2014-03-02	84	0	DYC471250
2014-02-28	2014-03-02	75	0	CFH273958
2014-03-03	2014-03-10	98	20	MFG080508
2014-03-03	2014-03-06	148	0	XYR894551
2014-03-03	2014-03-06	3	0	YFZ755553
2014-03-03	2014-03-06	48	0	SXF822718
2014-03-04	2014-03-09	127	0	YMB141739
2014-03-04	2014-03-09	9	0	CFZ241906
2014-03-04	2014-03-09	113	0	ZXG329680
2014-03-04	2014-03-09	2	0	XFZ237519
2014-03-04	2014-03-05	78	0	CZH267104
2014-03-05	2014-03-10	18	16	KCX453269
2014-03-05	2014-03-10	28	0	KZK146000
2014-03-05	2014-03-10	61	0	IZG900392
2014-03-05	2014-03-09	110	0	IBH470025
2014-03-05	2014-03-09	16	0	CCP576137
2014-03-05	2014-03-09	74	0	WRG350456
2014-03-05	2014-03-09	120	0	GMM353737
2014-03-05	2014-03-09	12	0	NHD848328
2014-03-05	2014-03-06	144	0	ZFO175207
2014-03-06	2014-03-11	59	0	CCX078259
2014-03-06	2014-03-10	72	0	MBM952494
2014-03-06	2014-03-10	26	0	BFX527430
2014-03-06	2014-03-09	34	0	XXH803853
2014-03-06	2014-03-09	145	0	CHC249985
2014-03-06	2014-03-09	130	0	ZDX750119
2014-03-07	2014-03-09	98	7	MGF382983
2014-03-07	2014-03-12	151	0	IXX295253
2014-03-07	2014-03-12	121	0	WXX857585
2014-03-07	2014-03-11	123	0	FCF935526
2014-03-07	2014-03-11	129	0	RXX639205
2014-03-07	2014-03-10	7	0	MHF122959
2014-03-07	2014-03-10	126	0	SXG215807
2014-03-07	2014-03-09	138	0	XOI130586
2014-03-10	2014-03-17	99	14	HAS901896
2014-03-10	2014-03-16	142	0	PAF614582
2014-03-10	2014-03-16	29	0	WIF141009
2014-03-10	2014-03-16	82	0	ZMI899416
2014-03-10	2014-03-16	76	0	MCF059067
2014-03-10	2014-03-12	79	0	FZX720893
2014-03-11	2014-03-16	67	10	FMX572105
2014-03-11	2014-03-17	124	0	EEU776789
2014-03-11	2014-03-17	96	0	JUD235859
2014-03-11	2014-03-16	4	0	XBX631762
2014-03-11	2014-03-16	116	0	EMM742995
2014-03-11	2014-03-16	30	0	FHM424620
2014-03-11	2014-03-16	125	0	GFZ266192
2014-03-11	2014-03-13	42	0	XFH008964
2014-03-11	2014-03-12	25	0	SQG342999
2014-03-12	2014-03-17	92	0	XFG453121
2014-03-12	2014-03-16	112	0	DMM098178
2014-03-12	2014-03-16	62	0	GFM607529
2014-03-12	2014-03-13	32	0	CMX053388
2014-03-12	2014-03-13	10	0	FUF038739
2014-03-13	2014-03-16	150	22	MED399592
2014-03-13	2014-03-17	22	5	EHH958994
2014-03-13	2014-03-18	102	0	ICM813350
2014-03-13	2014-03-17	147	0	MCF801550
2014-03-13	2014-03-16	70	0	ZZB672491
2014-03-13	2014-03-16	103	0	XKX803773
2014-03-13	2014-03-16	11	0	MSC321323
2014-03-13	2014-03-16	104	0	CXE534223
2014-03-14	2014-03-19	65	0	WFH500726
2014-03-14	2014-03-18	38	0	CSY852902
2014-03-14	2014-03-18	149	0	KFE959626
2014-03-14	2014-03-18	119	0	MMC332950
2014-03-14	2014-03-21	86	0	LAX266015
2014-03-17	2014-03-24	100	0	GGF711303
2014-03-17	2014-03-24	80	0	OFM787784
2014-03-17	2014-03-20	118	0	CGZ632613
2014-03-17	2014-03-19	47	0	XEF351928
2014-03-17	2014-03-19	122	0	ZFG126768
2014-03-18	2014-03-23	115	0	JCK343973
2014-03-18	2014-03-23	20	0	EDX349545
2014-03-18	2014-03-20	64	0	BMJ758460
2014-03-18	2014-03-19	117	0	IMW678586
2014-03-18	2014-03-19	8	0	FMX882222
2014-03-19	2014-03-24	17	0	MCE408943
2014-03-19	2014-03-23	53	0	MXF887872
2014-03-19	2014-03-23	111	0	FXC525228
2014-03-19	2014-03-20	13	0	KFX083386
2014-03-19	2014-03-20	40	0	BHC251835
2014-03-20	2014-03-25	85	0	MMG195249
2014-03-20	2014-03-24	41	0	YCL909401
2014-03-20	2014-03-24	50	0	CBJ968087
2014-03-20	2014-03-24	101	0	IJX135140
2014-03-20	2014-03-23	89	0	IMG008707
2014-03-20	2014-03-23	140	0	IMJ938595
2014-03-20	2014-03-23	91	0	SBM815485
2014-03-21	2014-03-26	108	0	HHX888762
2014-03-21	2014-03-26	134	0	XBF361313
2014-03-21	2014-03-24	11	0	XXX500668
2014-03-21	2014-03-24	33	0	GKH942736
2014-03-21	2014-03-24	83	0	CXM621444
2014-03-21	2014-03-24	128	0	HHG224963
2014-03-24	2014-03-25	97	20	KOF299175
2014-03-24	2014-03-31	137	0	HGC554195
2014-03-24	2014-03-30	93	0	OGG718167
2014-03-24	2014-03-27	135	0	FGG846403
2014-03-24	2014-03-27	37	0	XFG856746
2014-03-24	2014-03-26	114	0	MFF390781
2014-03-24	2014-03-26	107	0	KHG217652
2014-03-24	2014-03-26	27	0	HGF804514
2014-03-24	2014-03-25	31	0	KMR366963
2014-03-24	2014-03-25	36	0	FXF326657
2014-03-25	2014-03-30	133	7	BMM197956
2014-03-25	2014-03-26	39	22	HFX905445
2014-03-25	2014-03-30	23	21	KEC651673
2014-03-25	2014-03-31	106	0	IFM994328
2014-03-25	2014-03-31	51	0	XFD266470
2014-03-25	2014-03-30	56	0	BHX227747
2014-03-25	2014-03-27	143	0	DWF636131
2014-03-25	2014-03-27	132	0	DFX227202
2014-03-26	2014-03-30	21	13	FZG515777
2014-03-26	2014-03-31	55	0	KGF983672
2014-03-26	2014-03-31	1	0	MXM838992
2014-03-26	2014-03-30	19	0	JMM922338
2014-03-26	2014-03-27	54	0	DFC672241
2014-03-27	2014-03-31	138	0	HHC997034
2014-03-27	2014-03-31	16	0	ZMX455088
2014-03-27	2014-03-31	8	0	XXK256690
2014-03-27	2014-03-31	100	0	MHZ275291
2014-03-27	2014-03-30	139	0	XBG909473
2014-03-28	2014-04-01	21	20	JPU651745
2014-03-28	2014-04-02	101	0	CMX356320
2014-03-28	2014-04-02	95	0	MZZ959034
2014-03-28	2014-04-01	55	0	FCF353322
2014-03-28	2014-03-31	141	0	ZFG356776
2014-03-31	2014-04-02	97	17	XSK033393
2014-03-31	2014-04-06	122	0	CXM238196
2014-03-31	2014-04-03	130	0	RBE662266
2014-03-31	2014-04-02	62	0	FCZ177751
2014-03-31	2014-04-02	147	0	XKM662795
2014-04-01	2014-04-07	150	20	ZHM612050
2014-04-01	2014-04-06	57	0	GCS230692
2014-04-01	2014-04-06	126	0	CCW786650
2014-04-01	2014-04-03	71	0	DSZ722412
2014-04-01	2014-04-03	54	0	XKK812891
2014-04-02	2014-04-06	133	12	XIM100112
2014-04-02	2014-04-07	1	0	DGH772231
2014-04-02	2014-04-07	149	0	XXX429114
2014-04-02	2014-04-06	137	0	GBJ213015
2014-04-02	2014-04-06	32	0	XWS067222
2014-04-02	2014-04-06	110	0	GMX389483
2014-04-03	2014-04-06	98	22	GWX765715
2014-04-03	2014-04-07	38	0	ZFI897655
2014-04-03	2014-04-07	135	0	DZN571455
2014-04-03	2014-04-07	63	0	ICJ387681
2014-04-03	2014-04-06	33	0	CRK782756
2014-04-03	2014-04-06	25	0	FKC125485
2014-04-03	2014-04-06	83	0	RFX661835
2014-04-03	2014-04-06	151	0	KWF146721
2014-04-04	2014-04-09	22	20	HCX876676
2014-04-04	2014-04-09	72	0	XKG733158
2014-04-04	2014-04-08	146	0	MXW362701
2014-04-04	2014-04-08	144	0	SFX034654
2014-04-04	2014-04-07	127	0	XIZ903376
2014-04-04	2014-04-07	9	0	YZW882096
2014-04-04	2014-04-07	75	0	XDF950313
2014-04-04	2014-04-07	3	0	FHF863884
2014-04-07	2014-04-13	23	12	GUZ058053
2014-04-07	2014-04-14	6	0	YDG664081
2014-04-07	2014-04-14	52	0	SIE054483
2014-04-07	2014-04-13	87	0	KGM663174
2014-04-07	2014-04-13	78	0	MXM430534
2014-04-07	2014-04-10	29	0	BBM597829
2014-04-07	2014-04-09	64	0	ZFF498967
2014-04-07	2014-04-09	93	0	MGZ024191
2014-04-07	2014-04-08	131	0	ICM280185
2014-04-08	2014-04-13	22	5	EZM357783
2014-04-08	2014-04-14	119	0	MMX224447
2014-04-08	2014-04-13	92	0	GIM525855
2014-04-08	2014-04-13	25	0	CFX346740
2014-04-08	2014-04-10	73	0	FMI897566
2014-04-08	2014-04-09	5	0	XGM837371
2014-04-08	2014-04-09	111	0	IZF443236
2014-04-09	2014-04-14	67	17	XBX761706
2014-04-09	2014-04-14	58	0	XCF719247
2014-04-09	2014-04-14	94	0	ECC950257
2014-04-09	2014-04-14	86	0	GII847717
2014-04-09	2014-04-13	142	0	BJI273060
2014-04-09	2014-04-10	61	0	RBE662266
2014-04-09	2014-04-10	125	0	NGB567808
2014-04-09	2014-04-10	76	0	FOM594649
2014-04-10	2014-04-14	99	17	EGL641512
2014-04-10	2014-04-13	37	0	IFM994328
2014-04-10	2014-04-13	47	0	IXX818003
2014-04-10	2014-04-13	53	0	ZGM921515
2014-04-10	2014-04-13	42	0	OXM755464
2014-04-11	2014-04-16	74	0	PXH712791
2014-04-11	2014-04-16	88	0	QXX220330
2014-04-11	2014-04-15	91	0	FMF975737
2014-04-11	2014-04-15	136	0	SQG342999
2014-04-11	2014-04-14	140	0	GMK697709
2014-04-14	2014-04-23	97	20	MGF058112
2014-04-14	2014-04-22	98	5	XMW389063
2014-04-14	2014-04-20	148	0	XXX500668
2014-04-14	2014-04-17	80	0	GCB557376
2014-04-14	2014-04-16	26	0	MCF072446
2014-04-14	2014-04-16	112	0	XGR205764
2014-04-14	2014-04-15	59	0	LEH207809
2014-04-14	2014-04-15	105	0	FGM536432
2014-04-15	2014-04-20	66	0	XGH191874
2014-04-15	2014-04-20	117	0	GXX687854
2014-04-15	2014-04-20	51	0	CHN787118
2014-04-15	2014-04-20	12	0	FHF788127
2014-04-15	2014-04-20	85	0	XDX900460
2014-04-15	2014-04-17	113	0	FZG655550
2014-04-16	2014-04-22	36	0	GXX471316
2014-04-16	2014-04-22	28	0	XMJ975335
2014-04-16	2014-04-22	34	0	GMZ716117
2014-04-16	2014-04-20	56	0	DFF804625
2014-04-16	2014-04-17	109	0	NHD848328
2014-04-17	2014-04-22	22	14	HKB764849
2014-04-17	2014-04-22	116	0	GFM607529
2014-04-17	2014-04-22	28	0	MFW634808
2014-04-17	2014-04-22	27	0	GMM838780
2014-04-17	2014-04-20	82	0	XGO573400
2014-04-18	2014-04-23	31	0	DBC885258
2014-04-18	2014-04-22	30	0	IFG328578
2014-04-18	2014-04-22	143	0	XGZ994033
2014-04-18	2014-04-22	17	0	MBX489476
2014-04-18	2014-04-20	90	0	CMX356320
2014-04-22	2014-04-24	39	19	XND738173
2014-04-22	2014-04-27	104	0	HGF804514
2014-04-22	2014-04-27	11	0	KXZ515173
2014-04-22	2014-04-27	145	0	FCM801705
2014-04-22	2014-04-24	129	0	DAM052219
2014-04-23	2014-04-24	18	18	MXG562109
2014-04-23	2014-04-28	128	0	NXM554873
2014-04-23	2014-04-27	40	0	MGX142808
2014-04-23	2014-04-27	120	0	XFZ589258
2014-04-23	2014-04-27	115	0	GXF649902
2014-04-24	2014-04-29	134	0	RUP510042
2014-04-24	2014-04-29	13	0	OMD787104
2014-04-24	2014-04-29	14	0	FCQ729771
2014-04-24	2014-04-28	81	0	KFE449642
2014-04-24	2014-04-28	70	0	FZF762134
2014-04-25	2014-04-30	114	0	FMX800662
2014-04-25	2014-04-29	107	0	UFB884628
2014-04-25	2014-04-29	79	0	FXG655736
2014-04-25	2014-04-28	35	0	HGS802238
2014-04-25	2014-04-27	69	0	FHW793962
2014-04-28	2014-05-04	127	0	ZGM692473
2014-04-28	2014-05-04	9	0	FWF947156
2014-04-28	2014-05-04	75	0	XBF895317
2014-04-28	2014-04-30	3	0	BGC526563
2014-04-28	2014-04-29	6	0	FXK027557
2014-04-29	2014-05-04	23	15	FFG418456
2014-04-29	2014-05-04	52	0	EKX925863
2014-04-29	2014-05-04	87	0	SFE948819
2014-04-29	2014-05-04	78	0	YMH924624
2014-04-29	2014-04-30	29	0	HXK779584
2014-04-30	2014-05-05	64	0	QAX162534
2014-04-30	2014-05-05	93	0	SHY461615
2014-04-30	2014-05-04	131	0	XIM041015
2014-04-30	2014-05-04	119	0	FXF310412
2014-04-30	2014-05-02	92	0	XFF625389
2014-05-01	2014-05-06	44	0	IKF335910
2014-05-01	2014-05-05	46	0	HCI585052
2014-05-01	2014-05-05	73	0	CFH273958
2014-05-02	2014-05-04	67	11	MIX850288
2014-05-02	2014-05-05	5	0	MHM370087
2014-05-02	2014-05-05	111	0	XIX396709
2014-05-02	2014-05-05	58	0	MFX924878
2014-05-02	2014-05-04	94	0	FFX533082
2014-05-02	2014-05-04	86	0	JCX949358
2014-05-02	2014-05-04	142	0	CMS405317
2014-05-02	2014-05-04	61	0	HFX905445
2014-05-05	2014-05-11	99	9	FZO587536
2014-05-05	2014-05-12	125	0	BFM946380
2014-05-05	2014-05-12	76	0	EXM034305
2014-05-05	2014-05-11	37	0	GGZ359367
2014-05-05	2014-05-08	47	0	IID889495
2014-05-05	2014-05-07	53	0	QXX220330
2014-05-05	2014-05-06	42	0	HGF498784
2014-05-06	2014-05-12	74	0	KWM860800
2014-05-06	2014-05-11	88	0	MGZ923070
2014-05-06	2014-05-11	91	0	MIZ630118
2014-05-06	2014-05-11	136	0	XBG200691
2014-05-06	2014-05-11	140	0	KFX096030
2014-05-06	2014-05-08	38	0	XMK899524
2014-05-06	2014-05-07	15	0	HYG482500
2014-05-06	2014-05-07	148	0	XZM921260
2014-05-07	2014-05-11	21	19	KOF861172
2014-05-07	2014-05-11	133	11	BHX227747
2014-05-07	2014-05-12	47	0	UCM272896
2014-05-07	2014-05-12	63	0	IZG900392
2014-05-07	2014-05-12	143	0	ICJ387681
2014-05-07	2014-05-11	10	0	FMZ410708
2014-05-07	2014-05-11	95	0	CFF496081
2014-05-07	2014-05-11	54	0	XMX933461
2014-05-07	2014-05-11	141	0	UMS371124
2014-05-07	2014-05-11	17	0	HXZ865165
2014-05-07	2014-05-11	100	0	FKI378250
2014-05-08	2014-05-12	23	9	XKX015477
2014-05-08	2014-05-12	39	12	XMF125734
2014-05-08	2014-05-13	59	0	ZFZ247121
2014-05-08	2014-05-13	9	0	GCS230692
2014-05-08	2014-05-13	66	0	HMH106410
2014-05-08	2014-05-12	145	0	XGK050183
2014-05-08	2014-05-11	42	0	XBG209935
2014-05-08	2014-05-11	65	0	HFX432996
2014-05-09	2014-05-12	24	5	MSR872028
2014-05-09	2014-05-14	138	0	BMX992710
2014-05-09	2014-05-14	151	0	YCZ360082
2014-05-09	2014-05-13	140	0	ESH232611
2014-05-09	2014-05-12	53	0	MMZ783216
2014-05-09	2014-05-12	85	0	IZX988957
2014-05-09	2014-05-12	64	0	GCZ348095
2014-05-09	2014-05-12	37	0	HXG338916
2014-05-09	2014-05-12	27	0	FCH031578
2014-05-09	2014-05-11	33	0	ZCF031642
2014-05-12	2014-05-19	103	0	MFG781861
2014-05-12	2014-05-19	34	0	JHX514195
2014-05-12	2014-05-19	81	0	IFE642685
2014-05-12	2014-05-15	83	0	GSG667856
2014-05-12	2014-05-14	119	0	MCF801550
2014-05-12	2014-05-13	134	0	FKG415649
2014-05-12	2014-05-13	78	0	ZKH012854
2014-05-12	2014-05-13	76	0	FWJ087458
2014-05-13	2014-05-19	6	0	MZM023943
2014-05-13	2014-05-19	31	0	XOS219515
2014-05-13	2014-05-18	110	0	HDE421120
2014-05-13	2014-05-18	114	0	GWR917921
2014-05-13	2014-05-15	118	0	WRS984730
2014-05-13	2014-05-15	48	0	RDX754737
2014-05-13	2014-05-14	71	0	KFK838305
2014-05-13	2014-05-14	91	0	YMF385366
2014-05-14	2014-05-18	150	18	HCK288124
2014-05-14	2014-05-19	126	0	CUC217408
2014-05-14	2014-05-18	46	0	MMC462651
2014-05-14	2014-05-18	128	0	GDD045469
2014-05-14	2014-05-18	49	0	FXM201241
2014-05-14	2014-05-18	117	0	FXC525228
2014-05-14	2014-05-18	13	0	LEH207809
2014-05-14	2014-05-15	11	0	MUW618771
2014-05-14	2014-05-15	36	0	XCF312084
2014-05-15	2014-05-19	68	14	ZZB672491
2014-05-15	2014-05-20	41	0	SXG215807
2014-05-15	2014-05-19	2	0	BBW123688
2014-05-15	2014-05-19	148	0	FXP347625
2014-05-15	2014-05-19	51	0	KJC818741
2014-05-15	2014-05-18	70	0	GOF860504
2014-05-15	2014-05-18	121	0	CWC930943
2014-05-15	2014-05-18	104	0	ODB128636
2014-05-16	2014-05-21	98	14	XGM699728
2014-05-16	2014-05-21	62	0	MEM219066
2014-05-16	2014-05-21	142	0	BMM564312
2014-05-16	2014-05-21	111	0	IMG008707
2014-05-16	2014-05-20	89	0	XFX934308
2014-05-16	2014-05-19	87	0	FCA289497
2014-05-16	2014-05-19	19	0	JFK664363
2014-05-16	2014-05-19	16	0	CGK047704
2014-05-16	2014-05-19	55	0	MFZ519629
2014-05-16	2014-05-18	106	0	XCM133989
2014-05-16	2014-05-18	43	0	FNE430382
2014-05-19	2014-05-26	98	19	FXI692902
2014-05-19	2014-05-21	67	13	ZMM609910
2014-05-19	2014-05-26	97	13	HIH427586
2014-05-19	2014-05-21	15	0	XDG033514
2014-05-19	2014-05-20	38	0	GXI223457
2014-05-19	2014-05-20	7	0	FMX572105
2014-05-19	2014-05-20	127	0	WCX999655
2014-05-19	2014-05-20	83	0	RJG123840
2014-05-20	2014-05-25	150	21	GBJ213015
2014-05-20	2014-05-26	78	0	CMX053388
2014-05-20	2014-05-25	42	0	BFF713503
2014-05-20	2014-05-25	89	0	ICF676358
2014-05-20	2014-05-25	38	0	XXF708626
2014-05-20	2014-05-22	141	0	FUX829494
2014-05-20	2014-05-22	38	0	MJD412755
2014-05-20	2014-05-21	87	0	BFC942317
2014-05-21	2014-05-26	133	12	MMM753063
2014-05-21	2014-05-26	24	17	DBC885258
2014-05-21	2014-05-26	72	0	XGH191874
2014-05-21	2014-05-26	46	0	IFM994328
2014-05-21	2014-05-26	70	0	FZH618121
2014-05-21	2014-05-26	92	0	GNE666041
2014-05-21	2014-05-25	71	0	XIX717384
