PESEL;Nazwisko;Imie;Plec;NFZ
72081809954;Wolski;Jacek;m;Dolnoslaski
72090108994;Bielak;Marek;m;Opolski
72100213221;Szozda;Joanna;k;Lodzki
72102203080;Ratajska;Katarzyna;k;Opolski
72110111360;Korgol;Ewa;k;Zachodniopomorski
72110410575;Jaszczuk;Mariusz;m;Opolski
72120300576;Galarowicz;Piotr;m;Pomorski
72120701414;Falafel;Marek;m;Dolnoslaski
73012303174;Nowak;Robert;m;Warminsko-Mazurski
73020211836;Morawski;Tomasz;m;Lubelski
73022006443;Partyka;Mirian;k;Pomorski
73031011474;Pas;Piotr;m;Dolnoslaski
73040301443;Rakoczy;Anna;k;Dolnoslaski
73042514052;Maziarz;Adam;m;Slaski
73050611967;Herz;Edyta;k;Opolski
73051005415;Klark;Waldemar;m;Opolski
73062213991;Rzeszowski;Ryszard;m;Kujawsko-Pomorski
73070313250;Zajdel;Jacek;m;Dolnoslaski
73071412460;Wrotka;Iwona;k;Zachodniopomorski
73072304898;Komasa;Piotr;m;Slaski
73072705613;Polka;Marek;m;Opolski
73091413838;Grzembski;Mariusz;m;Dolnoslaski
73100811112;Paszkiewicz;Marek;m;Dolnoslaski
73103007260;Zalwert;Beata;k;Swietokrzyski
73111010733;Barcikowski;Pawel;m;Lubelski
73111111472;Kondrat;Krzysztof;m;Slaski
73112103661;Szemiot;Barbara;k;Opolski
73112811371;Grabowski;Grzegorz;m;Pomorski
73120209742;Czernik;Sylwia;k;Lodzki
73120502340;Widomska;Anna;k;Opolski
73120510983;Kulak;Barbara;k;Dolnoslaski
73120603409;Rynduch;Kamilla;k;Swietokrzyski
73121406179;Zenka;Sylwester;m;Pomorski
74011612571;Woroch;Mariusz;m;Dolnoslaski
74022105637;Smolka;Wojciech Zbigniew;m;Dolnoslaski
74022717610;Gromek;Jerzy;m;Swietokrzyski
74032409572;Nowak;Piotr;m;Lodzki
74040213103;Martyniak;Agnieszka Sylwia;k;Lubelski
74041201978;Sikorski;Robert;m;Lubelski
74041907393;Gembara;Piotr;m;Zachodniopomorski
74041914966;Rybacka;Ewa;k;Dolnoslaski
74051410975;Kisiel;Piotr;m;Lubelski
74051811530;Bonter;Krzysztof;m;Lodzki
74061904866;Odziemek;Grzegorz;k;Mazowiecki
74072100897;Tyblewski;Tomasz;m;Wielkopolski
74080413057;Magdziarz;Piotr;m;Dolnoslaski
74080616573;Kuriata;Piotr;m;Slaski
74081905364;Wloka;Dorota;k;Dolnoslaski
74082602956;Hanelt;Marek;m;Slaski
74090104574;Andrzejewski;Przemyslaw;m;Lubelski
74092209857;Dobroszewski;Mariusz;m;Ma這polski
74092807512;Molek;Damian;m;Lodzki
74110103172;Jakowicz;Bartosz;m;Dolnoslaski
74122401262;Hajduk;Beata;k;Wielkopolski
75012616816;Podolski;Leszek;m;Podlaski
75013001112;Skrzypczak;Adam;m;Dolnoslaski
75040908514;Kawiarowski;Mariusz Grzegorz;m;Lodzki
75073113561;Nosek;Weronika;k;Mazowiecki
75101514551;Zygmunt;Roman;m;Pomorski
75110805538;Imbryk;Wiktor;m;Dolnoslaski
75112002667;Popielska;Sabina;k;Opolski
75112705294;Pic;Antonii;m;Lubuski
76010512128;Beska;Alicja;k;Opolski
76010814381;Wertel;Barbara;k;Mazowiecki
76020715560;Krak;Anna;k;Pomorski
76021112229;Cepal;Marlena;k;Dolnoslaski
76030319994;Netras;Marian;m;Lubuski
76031210003;Sabura;Anna;k;Zachodniopomorski
76031317632;Dolka;Piotr;m;Dolnoslaski
76040616580;Stryk;Aneta;k;Warminsko-Mazurski
76041417494;Bochnia;Feliks;m;Opolski
76082105309;Laska;Ewa;k;Podlaski
76082908582;Kosinski;Bozena;k;Lubelski
76090410790;Wierzbicki;Grzegorz;m;Dolnoslaski
76102200375;Swetryk;Robert;m;Dolnoslaski
76103015255;Kozak;Andrzej;m;Pomorski
76111504730;Smyk;Pawel;m;Slaski
76111902521;Podpelski;Elzbieta;k;Wielkopolski
76113002380;Pawelczyk;Agata Regina;k;Slaski
76121812245;Kozinska;Malgorzata;k;Mazowiecki
76122202560;Zurek;Honorata;k;Opolski
76122705933;Sawicki;Henryk;m;Dolnoslaski
77011011470;Kiel;Patryk;m;Slaski
77011405004;Kubicka;Ilona;k;Pomorski
77013016039;Wojtasik;Adam;m;Wielkopolski
77020405662;Maik;Aneta;k;Dolnoslaski
77020413502;Blaska;Agnieszka;k;Slaski
77020807433;Bujek;Mariusz;m;Pomorski
77030713085;Gadzimska;Renata;k;Zachodniopomorski
77032211260;Mazur;Bozena;k;Slaski
77041414115;Kotek;Piotr;m;Lubuski
77051511813;Gacek;Arkadiusz;m;Slaski
77051807107;Maciejewska;Anna;k;Zachodniopomorski
77052508106;Doroszewska;Dorota;k;Opolski
77071905180;Czechowska;Sylwia;k;Kujawsko-Pomorski
77073108024;Krzyszowska;Magdalena;k;Wielkopolski
77081402107;Czykiel;Iwona;k;Slaski
77082009891;Molik;Sebastian;m;Mazowiecki
77112402034;Adamczyk;Adam;m;Ma這polski
78010204038;Kaczerzewski;Mariusz;m;Mazowiecki
78020106331;Jarkow;Andrzej;m;Lubuski
78020305679;Wyskup;Jacek;m;Dolnoslaski
78040912215;Andrycz;Jaroslaw;m;Ma這polski
78041212758;Zebrek;Jan;m;Slaski
78050206423;Wrotka;Luiza;k;Swietokrzyski
78053100625;Swak;Agnieszka;k;Lodzki
78060703471;Pietrzak;Artur;m;Lubuski
78062513119;Stawik;Roman;m;Dolnoslaski
78070605255;Sieradzki;Janusz;m;Kujawsko-Pomorski
78071105129;Zalotka;Mariola;k;Swietokrzyski
78073106371;Mularczyk;Krzysztof;m;Lubelski
78081205677;Woznak;Krzysztof;m;Dolnoslaski
78090410169;Kozik;Jolanta;k;Mazowiecki
78092312636;Bielik;Daniel;m;Swietokrzyski
78100113851;Noga;Sergiusz;m;Swietokrzyski
78101210090;Zebrowski;Marcin;m;Lubelski
78101714150;Papierz;Sebastian;m;Slaski
78121216432;Luczyk;Artur;m;Dolnoslaski
78123009351;Pobudejski;Krzysztof;m;Lubuski
79012214111;Osiak;Damian;m;Kujawsko-Pomorski
79030209537;Sobieracki;Dariusz;m;Mazowiecki
79032110785;Galicka;Renata;k;Lubuski
79032601917;Slimak;Damian;m;Opolski
79032700937;Burek;Adrian;m;Dolnoslaski
79040404278;Horak;Mariusz;m;Dolnoslaski
79041201492;Stecek;Michal;m;Dolnoslaski
79043017228;Iwan;Gabriela;k;Dolnoslaski
79052708579;Sadczak;Rafal;m;Dolnoslaski
79052813093;Celej;Piotr;m;Pomorski
79060905948;Czerniak;Anna;k;Podlaski
79071604014;Walkowiak;Daniel;m;Podkarpacki
79080601464;Lisowska;Dorota;k;Podlaski
79081015215;Przybylski;Roman;m;Lubelski
79082205031;Komarnicki;Jerzy;m;Podkarpacki
79083110932;Bagilski;Maciej;m;Lubuski
79102805045;Ludwicka;Izabela;k;Opolski
79110504145;Olecka;Beata;k;Lubelski
80010513110;Chmiel;Jaroslaw;m;Swietokrzyski
80020600297;Kulik;Bohdan;m;Kujawsko-Pomorski
80020900939;Dudek;Damian;m;Pomorski
80021114069;Wiatrak;Agnieszka;k;Opolski
80022305879;Szafranski;Karol;m;Podlaski
80032403462;Pasieka;Joanna;k;Pomorski
80032705717;Szumski;Arkadiusz;m;Swietokrzyski
80032914904;Krasicka;Sabina;k;Podkarpacki
80033119261;Palm;Joanna;k;Lubelski
80042305376;Aksamit;Piotr;m;Podkarpacki
80050414811;Ligocki;Damian;m;Dolnoslaski
80052703588;Lebiecka;Barbara;k;Podkarpacki
80053010304;Rudnicka;Lila;k;Slaski
80070601934;Durka;Marcin;m;Kujawsko-Pomorski
80071012751;Malec;Zbigniew;m;Wielkopolski
80071505381;Palinski;Tomasz;k;Pomorski
80090501526;Krug;Joanna;k;Wielkopolski
80090804360;Duralska;Karolina;k;Pomorski
80092717206;Kujak;Katarzyna;k;Lubuski
80102111912;Wasilewski;Grzegorz;m;Ma這polski
80110313348;Pogorzelska;Janina;k;Slaski
80112706467;Sokiel;Patrycja;k;Lodzki
80120617405;Jegliska;Anna;k;Dolnoslaski
80121118134;Tobera;Rafal;m;Lubuski
80121711528;Ogonowska;Olimpia;k;Lubuski
80122200214;Chlastawa;Marcin;m;Dolnoslaski
81011205762;Czaplik;Monika;k;Kujawsko-Pomorski
81012509247;Giewik;Magdalena;k;Lubuski
81012702497;Szczepaniak;Kazimierz;m;Kujawsko-Pomorski
81020503879;Kietrys;Tomasz Piotr;m;Slaski
81020905091;Badowski;Bartosz;m;Pomorski
81042920429;Klimecka;Marta;k;Kujawsko-Pomorski
81051014146;Marciszak;Malgorzata;k;Podkarpacki
81061303540;Wydra;Antonina;k;Dolnoslaski
81070406719;Jurkicz;Maciej;m;Dolnoslaski
81070514373;Buzek;Karol;m;Pomorski
81071001135;Skrzypczyk;Wiktor;m;Podlaski
81071409803;Brodnicka;Maria;k;Slaski
81072002456;Zygmunt;Przemyslaw;m;Opolski
81072905827;Bawolek;Beata;k;Dolnoslaski
81082403586;Mrozek;Marta;k;Opolski
81090302208;Pijawka;Agnieszka;k;Lubuski
81100702484;Frejkut;Anna;k;Lubuski
81110904931;Andreasik;Marcin;m;Dolnoslaski
81111502336;Poroczak;Robert;m;Podkarpacki
82021113047;Adamczyk;Magdalena;k;Pomorski
82021412290;Madra;Miroslaw;m;Lubuski
82030216346;Zajaczkowska;Helena;k;Wielkopolski
82032806527;Wilke;Katarzyna;k;Lubelski
82041909536;Galiski;Konrad;m;Lodzki
82050517128;Nieslowska;Kaja;k;Pomorski
82053117004;Lang;Maja;k;Dolnoslaski
82062510397;Mielnik;Jan;m;Mazowiecki
82062606595;Tekilski;Karol;m;Warminsko-Mazurski
82070811422;Szczerepa;Joanna;k;Opolski
82070814517;Talka;Marcin;m;Slaski
82081806479;Adamski;Adam;m;Kujawsko-Pomorski
82090709880;Tomkowicz;Maria;k;Zachodniopomorski
82092113968;Tulka;Elzbieta;k;Kujawsko-Pomorski
82101511853;Krzem;Grzegorz;m;Dolnoslaski
82102104502;Milka;Jowita;k;Slaski
82110311226;Bartosz;Maja;k;Ma這polski
82111205632;Dabek;Grzegorz;m;Slaski
82111305813;Gajewski;Marek;m;Opolski
82121014754;Bogusz;Pawel;m;Pomorski
83011010425;Kardas;Joanna;k;Pomorski
83011506041;Berus;Ewelina;k;Ma這polski
83011612863;Pietras;Marta;k;Podlaski
83011805034;Biernat;Henryk;m;Pomorski
83020513722;Lars;Margaret;k;Lubelski
83021307261;Peter;Maja;k;Opolski
83022606765;Sawicka;Bozena;k;Kujawsko-Pomorski
83031404990;Sulima;Daniel;m;Slaski
83041217061;Ryglicka;Renata;k;Lubuski
83041417843;Balicka;Michalina;k;Dolnoslaski
83042106519;Gorka;Kamil;m;Kujawsko-Pomorski
83051718730;Gradka;Marcin;m;Dolnoslaski
83052505111;Krajewski;Marek;m;Dolnoslaski
83052720109;Prymas;Magdalena;k;Opolski
83062606028;Gigiel;Dorota;k;Wielkopolski
83062902001;Iwanek;Maria;k;Lubelski
83071514437;Lniany;Waclaw;m;Lubuski
83072705186;Konieczna;Krystyna;k;Zachodniopomorski
83080206260;Kozakiewicz;Karolina;k;Opolski
83080613107;Danowska;Anna;k;Mazowiecki
83081611210;Jatka;Marcin;m;Zachodniopomorski
83082517652;Calka;Adam;m;Podlaski
83082611509;Sierota;Maria;k;Wielkopolski
83082901590;Chmielewski;Pawel;m;Dolnoslaski
83083113932;Salik;Jacek;m;Dolnoslaski
83090707564;Paleczna;Beata;k;Kujawsko-Pomorski
83090805811;Ulanski;Marcin;m;Mazowiecki
83101401577;Rutkowski;Milosz;m;Ma這polski
83112015095;Rup;Kamil;m;Slaski
83122513594;Wojcieszek;Mariusz;m;Dolnoslaski
84011512252;Sebzda;Michal;m;Slaski
84012011965;Radecka;Waleria;k;Mazowiecki
84012512299;Loboda;Radoslaw;m;Podkarpacki
84013117301;Kunecka;Jolanta;k;Slaski
84021122296;Piekut;Damian;m;Wielkopolski
84022204311;Kozera;Marcin;m;Dolnoslaski
84022314533;Maciag;Robert;m;Wielkopolski
84031109373;Filar;Maciej;m;Podkarpacki
84032420950;Paczkowski;Marek;m;Lodzki
84033119657;Brzozowski;Michal;m;Zachodniopomorski
84040113372;Wolka;Roman;m;Wielkopolski
84040501412;Bartnik;Artur;m;Dolnoslaski
84041801757;Czerwinski;Michal;m;Mazowiecki
84052911979;Truska;Jaroslaw;m;Wielkopolski
84061406633;Balut;Marcin;m;Dolnoslaski
84062610893;Sekara;Robert;m;Podlaski
84072215099;Antoszewski;Pawel;m;Dolnoslaski
84081105459;Koruch;Pawel;m;Dolnoslaski
84081501316;Niezgoda;Piotr;m;Slaski
84082706536;Olejnik;Tomasz;m;Podlaski
84083020031;Boral;Piotr;m;Kujawsko-Pomorski
84083103219;Janiszewski;Leszek;m;Opolski
84100612788;Kajac;Karolina;k;Dolnoslaski
84101307733;Dwornik;Sylwester;m;Kujawsko-Pomorski
84101411652;Czerniak;Tomasz;m;Opolski
84101904084;Zarychta;Joanna;k;Opolski
84121200854;Jankowski;Seweryn;m;Dolnoslaski
84122604077;Rekatka;Szczepan;m;Swietokrzyski
85011102241;Kaim;Magdalena;k;Mazowiecki
85030101731;Sumak;Kazimierz;m;Wielkopolski
85032104879;Mazurkiewicz;Krzysztof;m;Pomorski
85041200713;Baba;Marek;m;Opolski
85041601576;Najman;Artur;m;Slaski
85050901395;Orkan;Konrad;m;Opolski
85050920017;Borach;Dariusz;m;Lodzki
85061707519;Pietrowski;Maciej;m;Lubuski
85070305382;Wysmyk;Kamila;k;Opolski
85070312399;Wirbut;Jacek;m;Wielkopolski
85071211574;Jackowski;Marek;m;Dolnoslaski
85072102307;Abramowicz;Agata;k;Dolnoslaski
85080805333;Solecki;Marek;m;Wielkopolski
85081020696;Migdal;Andrzej;m;Dolnoslaski
85081404180;Buraczewska;Maria;k;Kujawsko-Pomorski
85090204317;Jasionowicz;Arkadiusz;m;Lodzki
85090504097;Klod;Samuel;m;Zachodniopomorski
85092304435;Nazaruk;Marcin;m;Wielkopolski
85092701454;Lukasik;Damian;m;Slaski
85111900484;Kaminska;Anna;k;Kujawsko-Pomorski
85112004279;Razny;Gawel;m;Lubelski
85120512155;Jajczyk;Krzysztof;m;Podkarpacki
85120607475;Baluk;Marcin;m;Podlaski
85122901539;Jedrasik;Zbigniew;m;Wielkopolski
86010600518;Szerszuk;Tomasz;m;Podlaski
86011314148;Zajdel;Kaja;k;Zachodniopomorski
86011400957;Slowik;Piotr;m;Opolski
86021314910;Fabryka;Marian;m;Zachodniopomorski
86021801957;Faron;Kamil;m;Podlaski
86022815953;Mazurek;Kacper;m;Opolski
86031512128;Gesler;Julia;k;Lodzki
86031805365;Kotecka;Julita Karolina;k;Dolnoslaski
86032206745;Przybylska;Lilia;k;Pomorski
86040102143;Gajda;Ewa;k;Swietokrzyski
86050301802;Nicon;Natalia;k;Kujawsko-Pomorski
86051301955;Kornacki;Wiktor;m;Opolski
86051404795;Kukorski;Dawid;m;Podkarpacki
86060709052;Bednarek;Grzegorz;m;Podkarpacki
86061614120;Halik;Bernadetta;k;Podlaski
86061701350;Dzikiewicz;Kamil;m;Swietokrzyski
86071413430;Baczek;Marcin;m;Dolnoslaski
86071804436;Sprawik;Jakub;m;Podlaski
86090603939;Sulik;Gniewosz;m;Mazowiecki
86091009222;Maruda;Magdalena;k;Slaski
86091209332;Kotun;Maciej;m;Slaski
86102602138;Bednarski;Kacper;m;Swietokrzyski
86111509079;Gwiazda;Filip;m;Dolnoslaski
86121513053;Pliszka;Waldemar;m;Lubuski
86123101195;Gruszka;Tomasz;m;Wielkopolski
87010918074;Abid;Samuel;m;Wielkopolski
87012404674;Nowak;Krzysztof;m;Lubelski
87012412057;Jankiewicz;Tymoteusz;m;Lubuski
87021111965;Kubiak;Joanna;k;Dolnoslaski
87021501427;Cichon;Anna;k;Pomorski
87022701796;Jedrka;Grzegorz;m;Opolski
87030504033;Lazar;Rafal;m;Mazowiecki
87031009254;Suszek;Tomasz;m;Zachodniopomorski
87031214829;Rup;Marzena;k;Swietokrzyski
87040913225;Nowak;Mariola;k;Swietokrzyski
87050703663;Niemczycka;Ewa;k;Lubelski
87051105846;Jarzabek;Manuela;k;Pomorski
87061107498;Szumski;Piotr;m;Wielkopolski
87061514717;Snopek;Krzysztof;m;Lodzki
87062205386;Pluta;Justyna;k;Swietokrzyski
87071610292;Kolodziej;Damian;m;Slaski
87071704443;Falasa;Boguslawa;k;Kujawsko-Pomorski
87071903996;Trzos;Krzysztof;m;Slaski
87072300709;Bartoszko;Dorota;k;Opolski
87072304611;Mazur;Mateusz;m;Opolski
87072600366;Niemierko;Anna;k;Slaski
87072711015;Hartmann;Peter;m;Lubuski
87080308410;Szukalski;Piotr;m;Wielkopolski
87090603059;Raczycki;Amadeusz;m;Opolski
87100604603;Redlin;Natalia;k;Opolski
87101810438;Petynia;Lukasz;m;Zachodniopomorski
87102506354;Gawron;Artur;m;Slaski
87111213416;Wojdat;Tomasz;m;Swietokrzyski
87111414664;Szysz;Paulina;k;Lodzki
87111700873;Szalek;Mateusz;m;Opolski
87120202599;Kluczyk;Karol;m;Opolski
87121009416;Witowski;Janusz;m;Podlaski
88010512374;Galinski;Szymon;m;Podkarpacki
88010713713;Chwalek;Dariusz;m;Dolnoslaski
88011205679;Tomaszewski;Tomasz;m;Pomorski
88011807000;Rut;Urszula;k;Ma這polski
88020502174;Czerpak;Maciej;m;Dolnoslaski
88020810077;Sagalski;Piotr;m;Lubelski
